ADP,Overall,Name,Position,Team,Times Drafted,Bye
12.06,115.5,Charles Sims,RB,TB,265,6
12.06,116.0,Zach Ertz,TE,PHI,310,8
12.07,117.4,Josh Gordon,WR,CLE,108,13
12.08,118.1,Stephen Gostkowski,PK,NE,535,9
12.10,120.4,Marcus Mariota,QB,TEN,140,13
13.01,121.5,Javorius Allen,RB,BAL,156,8
13.02,121.5,Jason Witten,TE,DAL,51,6
13.02,121.9,Willie Snead,WR,NO,92,5
13.04,123.7,Corey Coleman,WR,CLE,95,13
13.04,123.9,Chris Johnson,RB,ARI,240,9
13.04,124.2,Breshad Perriman,WR,BAL,149,8
13.05,124.7,Antonio Gates,TE,SD,279,10
13.05,124.9,Los Angeles Defense,DEF,LA,199,8
13.05,124.9,Derrick Henry,RB,TEN,33,13
13.06,125.6,Torrey Smith,WR,SF,150,8
13.06,125.8,Graham Gano,PK,CAR,107,7
13.06,125.9,Matt Ryan,QB,ATL,176,11
13.07,126.9,Darren McFadden,RB,DAL,189,6
13.07,127.5,Alfred Morris,RB,HOU,88,9
13.08,127.6,Ronnie Hillman,RB,DEN,41,11
13.08,128.1,Martellus Bennett,TE,CHI,165,7
13.09,128.7,Jameis Winston,QB,TB,150,6
13.09,128.9,Theo Riddick,RB,DET,128,10
13.09,129.3,Dwayne Allen,TE,IND,118,10
13.09,129.3,James Starks,RB,GB,92,4
13.09,129.3,Steven Hauschka,PK,SEA,137,9
13.10,130.5,Victor Cruz,WR,NYG,82,11
14.01,130.5,Jerick McKinnon,RB,MIN,71,6
14.01,130.8,Sterling Shepard,WR,NYG,77,11
14.01,131.0,Minnesota Defense,DEF,MIN,165,6
14.01,131.1,Jared Cook,TE,LA,29,8
14.01,131.4,Mohamed Sanu,WR,ATL,102,11
14.02,131.5,Mike Wallace,WR,BAL,70,8
14.02,131.6,Vincent Jackson,WR,TB,115,6
14.02,132.3,Eric Ebron,TE,DET,37,10
14.03,132.6,Matthew Stafford,QB,DET,150,10
14.03,132.8,Justin Tucker,PK,BAL,108,8
14.03,133.2,Devin Funchess,WR,CAR,20,7
14.03,133.4,Ted Ginn Jr,WR,ARI,24,9
14.04,133.5,Nelson Agholor,WR,PHI,22,8
14.04,134.0,Sammie Coates,WR,FA,75,12
14.05,134.6,CJ Prosise,RB,SEA,28,9
14.05,134.7,Dan Bailey,PK,DAL,133,6
14.05,135.0,Oakland Defense,DEF,OAK,125,6
14.05,135.0,Bilal Powell,RB,NYJ,63,11
14.05,135.1,Ryan Tannehill,QB,MIA,59,8
14.06,135.9,Austin Seferian-Jenkins,TE,TB,75,6
14.06,136.2,NY Jets Defense,DEF,NYJ,154,11
14.07,137.4,Chandler Catanzaro,PK,ARI,143,9
14.09,139.5,New England Defense,DEF,NE,102,9
15.01,140.5,Blair Walsh,PK,MIN,23,6
15.01,141.2,Mason Crosby,PK,GB,101,4
15.02,141.5,Chris Boswell,PK,PIT,147,8
15.02,141.7,Cincinnati Defense,DEF,CIN,48,9
15.02,142.0,Jacksonville Defense,DEF,JAC,63,5
15.03,143.3,Brandon McManus,PK,DEN,95,11
15.04,144.5,Josh Brown,PK,NYG,24,11
15.05,144.9,Adam Vinatieri,PK,IND,87,10
15.05,145.2,Cairo Santos,PK,KC,47,9
