"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-29249","RB","C.J.","C.J. Anderson","Anderson","19.100000381469727","2","6900","DEN@BUF","DEN","BUF","","","",""
"21030-15212","WR","Terrelle","Terrelle Pryor Sr.","Pryor Sr.","6.849999904632568","2","6900","OAK@WAS","WAS","OAK","","","",""
"21030-42142","RB","Jordan","Jordan Howard","Howard","7.400000095367432","2","6800","PIT@CHI","CHI","PIT","Q","Shoulder","",""
"21030-30237","RB","Mike","Mike Gillislee","Gillislee","17.700000762939453","2","6800","HOU@NE","NE","HOU","","","",""
"21030-31394","WR","Jarvis","Jarvis Landry","Landry","13.600000381469727","1","6800","MIA@NYJ","MIA","NYJ","Q","Knee","",""
"21030-55050","RB","Christian","Christian McCaffrey","McCaffrey","7.699999809265137","2","6800","NO@CAR","CAR","NO","","","",""
"21030-45889","WR","Davante","Davante Adams","Adams","13.050000190734863","2","6800","CIN@GB","GB","CIN","","","",""
"21030-14225","QB","Andy","Andy Dalton","Dalton","5.230000019073486","2","6800","CIN@GB","CIN","GB","","","",""
"21030-9371","RB","Marshawn","Marshawn Lynch","Lynch","10.550000190734863","2","6700","OAK@WAS","OAK","WAS","","","",""
"21030-22031","WR","T.Y.","T.Y. Hilton","Hilton","6.050000190734863","2","6700","CLE@IND","IND","CLE","","","",""
"21030-30298","TE","Jordan","Jordan Reed","Reed","6.949999809265137","2","6700","OAK@WAS","WAS","OAK","Q","Chest","",""
"21030-6759","WR","Brandon","Brandon Marshall","Marshall","1.850000023841858","2","6700","NYG@PHI","NYG","PHI","","","",""
"21030-14336","RB","Jacquizz","Jacquizz Rodgers","Rodgers","12.699999809265137","1","6600","TB@MIN","TB","MIN","","","",""
"21030-24929","WR","Kelvin","Kelvin Benjamin","Benjamin","6.849999904632568","2","6600","NO@CAR","CAR","NO","Q","Knee","",""
"21030-54684","RB","Isaiah","Isaiah Crowell","Crowell","6.650000095367432","2","6600","CLE@IND","CLE","IND","","","",""
"21030-62535","WR","Tyrell","Tyrell Williams","Williams","7.650000095367432","2","6500","KC@LAC","LAC","KC","","","",""
"21030-29780","TE","Zach","Zach Ertz","Ertz","12.75","2","6500","NYG@PHI","PHI","NYG","","","",""
"21030-24675","WR","Martavis","Martavis Bryant","Bryant","9.850000381469727","2","6500","PIT@CHI","PIT","CHI","","","",""
"21030-33260","WR","DeVante","DeVante Parker","Parker","10.5","1","6500","MIA@NYJ","MIA","NYJ","Q","Ankle","",""
"21030-25079","WR","Stefon","Stefon Diggs","Diggs","14.149999618530273","2","6500","TB@MIN","MIN","TB","","","",""
"21030-30231","QB","Jacoby","Jacoby Brissett","Brissett","5.940000057220459","2","6500","CLE@IND","IND","CLE","","","",""
"21030-6803","QB","Josh","Josh McCown","McCown","13.609999656677246","2","6500","MIA@NYJ","NYJ","MIA","","","",""
"21030-6863","TE","Delanie","Delanie Walker","Walker","12.649999618530273","2","6500","SEA@TEN","TEN","SEA","","","",""
"21030-54140","RB","Dalvin","Dalvin Cook","Cook","11.300000190734863","2","6500","TB@MIN","MIN","TB","","","",""
"21030-14254","RB","DeMarco","DeMarco Murray","Murray","5.150000095367432","2","6500","SEA@TEN","TEN","SEA","Q","Hamstring","",""
"21030-11512","TE","Jimmy","Jimmy Graham","Graham","1.4500000476837158","2","6400","SEA@TEN","SEA","TEN","Q","Ankle","",""
"21030-14704","WR","Chris","Chris Hogan","Hogan","9.649999618530273","2","6400","HOU@NE","NE","HOU","Q","Knee","",""
"21030-39280","RB","Derrick","Derrick Henry","Henry","8.850000381469727","2","6400","SEA@TEN","TEN","SEA","","","",""
"21030-6739","WR","DeSean","DeSean Jackson","Jackson","5.400000095367432","1","6400","TB@MIN","TB","MIN","","","",""
"21030-25410","QB","Mike","Mike Glennon","Glennon","12.279999732971191","2","6400","PIT@CHI","CHI","PIT","","","",""
"21030-14257","WR","Randall","Randall Cobb","Cobb","11.5","2","6400","CIN@GB","GB","CIN","Q","Chest","",""
"21030-6840","RB","Frank","Frank Gore","Gore","8.149999618530273","2","6300","CLE@IND","IND","CLE","","","",""
"21030-8117","WR","Danny","Danny Amendola","Amendola","13","1","6300","HOU@NE","NE","HOU","Q","Concussion","",""
"21030-30837","WR","Jordan","Jordan Matthews","Matthews","5.800000190734863","2","6200","DEN@BUF","BUF","DEN","","","",""
"21030-6733","RB","Jonathan","Jonathan Stewart","Stewart","9.600000381469727","2","6200","NO@CAR","CAR","NO","","","",""
"21030-22163","WR","Rishard","Rishard Matthews","Matthews","7.699999809265137","2","6200","SEA@TEN","TEN","SEA","","","",""
"21030-29715","QB","Kevin","Kevin Hogan","Hogan","8.220000267028809","1","6100","CLE@IND","CLE","IND","","","",""
"21030-22037","RB","Lamar","Lamar Miller","Miller","10.399999618530273","2","6100","HOU@NE","HOU","NE","","","",""
"21030-27229","RB","Ameer","Ameer Abdullah","Abdullah","7.099999904632568","2","6100","ATL@DET","DET","ATL","","","",""
"21030-27477","WR","Sterling","Sterling Shepard","Shepard","6.25","2","6100","NYG@PHI","NYG","PHI","","","",""
"21030-14344","QB","T.J.","T.J. Yates","Yates","0","0","6000","DEN@BUF","BUF","DEN","","","",""
"21030-24607","QB","Chad","Chad Kelly","Kelly","0","0","6000","DEN@BUF","DEN","BUF","O","Wrist","",""
"21030-30761","QB","Nathan","Nathan Peterman","Peterman","0","0","6000","DEN@BUF","BUF","DEN","","","",""
"21030-31798","QB","Bryce","Bryce Petty","Petty","6.543333053588867","6","6000","MIA@NYJ","NYJ","MIA","","","",""
"21030-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","KC@LAC","KC","LAC","","","",""
"21030-53331","QB","Taylor","Taylor Heinicke","Heinicke","0","0","6000","TB@MIN","MIN","TB","","","",""
"21030-57439","QB","Patrick","Patrick Mahomes II","Mahomes II","0","0","6000","KC@LAC","KC","LAC","","","",""
"21030-29915","QB","Brett","Brett Hundley","Hundley","-0.12999999523162842","4","6000","CIN@GB","GB","CIN","","","",""
"21030-6373","QB","Derek","Derek Anderson","Anderson","5.380000114440918","4","6000","NO@CAR","CAR","NO","","","",""
"21030-11500","QB","Colt","Colt McCoy","McCoy","0","0","6000","OAK@WAS","WAS","OAK","","","",""
"21030-22848","QB","Austin","Austin Davis","Davis","0","0","6000","SEA@TEN","SEA","TEN","","","",""
"21030-31047","QB","AJ","AJ McCarron","McCarron","0","0","6000","CIN@GB","CIN","GB","","","",""
"21030-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","5.913333257039388","6","6000","HOU@NE","NE","HOU","","","",""
"21030-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","ATL@DET","DET","ATL","","","",""
"21030-11615","QB","Joe","Joe Webb","Webb","0.11428571598870414","7","6000","DEN@BUF","BUF","DEN","","","",""
"21030-14696","QB","Scott","Scott Tolzien","Tolzien","3.319999933242798","1","6000","CLE@IND","IND","CLE","","","",""
