Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
266,Keith Reaser (FA),4,0,1.0,2,0,0,0,0,2,13.0,6.5,0.0%
267,Jamal Carter (ATL),6,2,0.0,1,0,0,0,0,16,12.8,0.8,0.0%
268,Charles Washington (ARI),6,1,0.0,0,0,0,0,0,16,12.3,0.8,0.2%
269,Fabian Moreau (WAS),4,3,0.0,1,0,0,0,0,16,12.1,0.8,0.7%
270,KeiVarae Russell (FA),8,0,0.0,0,0,0,0,0,8,12.0,1.5,0.0%
271,Treston Decoud (FA),6,1,0.0,1,0,0,0,0,10,11.3,1.1,0.0%
272,Chris Prosinski (FA),5,3,0.0,0,0,0,0,0,3,11.3,3.8,4.0%
273,Rontez Miles (FA),6,2,0.0,0,0,0,0,0,13,11.3,0.9,12.0%
274,Clayton Geathers (FA),5,3,0.0,0,0,0,0,0,5,11.3,2.3,1.4%
275,Eric Berry (FA),4,3,0.0,0,0,0,0,0,1,10.8,10.8,0.4%
276,Gareon Conley (HOU),5,2,0.0,1,0,0,0,0,2,10.6,5.3,2.9%
277,Tramaine Brock (FA),5,1,0.0,1,0,0,0,0,11,9.8,0.9,0.0%
278,Jayron Kearse (DET),3,1,0.0,0,0,0,0,0,15,9.3,0.6,0.4%
279,Dymonte Thomas (FA),3,4,0.0,0,0,0,0,0,3,9.1,3.0,0.0%
280,Rayshawn Jenkins (LAC),4,1,0.0,1,0,0,0,0,15,9.0,0.6,1.1%
281,Marqui Christian (FA),4,2,0.0,0,0,0,0,0,12,9.0,0.8,0.0%
282,Obi Melifonwu (FA),5,1,0.0,0,0,0,0,0,5,9.0,1.8,0.0%
283,Chris Maragos (FA),4,2,0.0,0,0,0,0,0,6,9.0,1.5,0.0%
284,Chuck Clark (BAL),5,0,0.0,2,0,0,0,0,15,9.0,0.6,22.8%
285,Nat Berhe (FA),1,1,1.0,0,0,0,0,0,15,8.8,0.6,2.0%
286,Cameron Sutton (PIT),4,1,0.0,1,0,0,0,0,5,8.3,1.7,0.4%
287,Jermaine Whitehead (FA),3,2,0.0,1,0,0,0,0,10,7.6,0.8,1.7%
288,Marcus Rios (FA),4,0,0.0,1,0,0,0,0,5,7.5,1.5,0.0%
289,Nolan Carroll (FA),5,0,0.0,0,0,0,0,0,2,7.5,3.8,0.0%
290,C.J. Goodwin (DAL),5,0,0.0,0,0,0,0,0,14,7.5,0.5,0.2%
291,Harlan Miller (FA),4,2,0.0,0,0,0,1,0,5,7.5,1.5,0.0%
292,Javien Elliott (FA),5,0,0.0,0,0,0,0,0,15,7.5,0.5,0.0%
293,Keith McGill (FA),3,0,0.0,0,0,0,0,0,13,7.0,0.5,0.0%
294,Michael Davis (LAC),3,1,0.0,1,0,0,0,0,15,6.8,0.5,0.2%
295,Isaiah Johnson (FA),1,4,0.0,0,0,0,0,0,1,6.8,6.8,0.0%
296,Jamal Agnew (DET),5,0,0.0,0,0,0,0,0,13,6.8,0.5,22.6%
297,Leon McQuay III (FA),3,1,0.0,1,0,0,0,0,1,6.0,6.0,0.0%
298,Chris Milton (TEN),4,0,0.0,0,0,0,0,0,14,6.0,0.4,0.0%
299,Jarrod Wilson (JAC),3,0,0.0,0,0,0,1,0,15,6.0,0.4,3.2%
300,Blidi Wreh-Wilson (ATL),3,1,0.0,1,0,0,0,0,8,6.0,0.8,0.4%
301,Robert Nelson (FA),4,0,0.0,0,0,0,0,0,2,6.0,3.0,0.0%
302,Neiko Thorpe (SEA),2,0,0.0,2,0,0,1,0,14,6.0,0.4,0.2%
303,Tyler Patmon (FA),2,2,0.0,0,0,0,0,0,13,6.0,0.5,0.0%
304,Demetrious Cox (FA),4,0,0.0,0,0,0,0,0,4,6.0,1.5,0.0%
305,Dominique Hatfield (FA),3,0,0.0,0,0,0,0,0,11,4.5,0.4,0.0%
306,Walt Aikens (FA),2,0,0.0,0,0,0,0,0,16,4.5,0.3,0.0%
307,Peyton Thompson (FA),2,1,0.0,0,0,0,0,0,16,4.5,0.3,0.0%
308,D.J. White (FA),3,0,0.0,0,0,0,0,0,2,4.5,2.3,0.0%
309,Bene Benwikere (FA),2,0,0.0,1,0,0,1,0,12,4.5,0.4,0.0%
310,Antone Exum Jr. (FA),2,1,0.0,0,0,0,0,0,2,3.8,1.9,0.0%
311,Tyvis Powell (FA),2,1,0.0,0,0,0,0,0,3,3.8,1.3,0.0%
312,Lorenzo Jerome (FA),2,1,0.0,0,0,0,0,0,4,3.8,1.0,0.0%
313,Deon Bush (CHI),1,2,0.0,0,0,0,0,0,13,3.1,0.2,1.1%
314,Sidney Jones (PHI),2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.5%
315,Jordan Lucas (CHI),2,0,0.0,0,0,0,0,0,11,3.0,0.3,0.2%
316,Maurice Smith (WAS),1,0,0.0,1,0,0,0,0,6,3.0,0.5,0.0%
317,Jaylen Hill (FA),1,0,0.0,1,0,0,0,0,6,3.0,0.5,0.0%
318,Nathan Gerry (PHI),0,1,0.0,1,0,0,0,0,10,3.0,0.3,20.5%
319,Dexter McDougle (FA),2,0,0.0,0,0,0,0,0,9,3.0,0.3,0.0%
320,Brendan Langley (FA),2,0,0.0,0,0,0,0,0,11,3.0,0.3,0.0%
321,Tony McRae (DET),2,0,0.0,0,0,0,0,0,9,3.0,0.3,0.0%
322,Greg Mabin (CIN),0,1,0.0,1,0,0,0,0,7,2.3,0.3,0.0%
323,Lafayette Pitts (IND),1,1,0.0,0,0,0,0,0,16,2.3,0.1,0.2%
324,Kalan Reed (FA),0,0,0.0,1,0,0,0,0,3,1.5,0.5,0.0%
325,Jason Verrett (SF),1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.6%
326,Marcus Sherels (FA),1,0,0.0,0,0,0,0,0,16,1.5,0.1,0.0%
327,Jalen Myrick (FA),0,0,0.0,1,0,0,0,0,5,1.5,0.3,0.0%
328,Stefan McClure (FA),1,0,0.0,0,0,0,0,0,7,1.5,0.2,0.0%
329,Torry McTyer (CIN),1,0,0.0,0,0,0,0,0,7,1.5,0.2,0.0%
