Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Jamal Adams (NYJ),85,29,3.5,12,1,3,1,0,16,223.8,14.0,75.6%
2,Antoine Bethea (FA),99,21,3.0,4,0,1,0,0,16,199.1,12.4,17.6%
3,Shawn Williams (CIN),79,29,1.0,10,5,1,0,1,16,196.5,12.3,36.3%
4,Jordan Poyer (BUF),71,27,2.0,6,4,1,1,0,16,196.1,12.3,59.1%
5,Derwin James (LAC),75,30,3.5,13,3,0,0,0,16,195.5,12.2,68.4%
6,John Johnson (LAR),80,36,0.0,11,4,1,0,0,16,193.8,12.1,60.0%
7,Harrison Smith (MIN),67,17,3.0,6,3,1,2,0,16,184.1,11.5,57.8%
8,Kareem Jackson (DEN),70,16,1.0,17,2,2,1,0,16,181.2,11.3,24.9%
9,Budda Baker (ARI),77,24,2.0,2,0,1,2,1,14,181.2,12.9,83.6%
10,Malcolm Jenkins (NO),76,18,1.0,8,1,3,1,0,16,179.8,11.2,34.2%
11,Hasean Clinton-Dix (DAL),79,12,1.0,6,3,2,1,0,16,171.7,10.7,26.6%
12,Jessie Bates III (CIN),73,38,0.0,8,3,0,0,1,16,170.7,10.7,41.7%
13,Tyrann Mathieu (KC),70,19,3.0,8,2,0,1,0,16,170.1,10.6,53.1%
14,Bradley McDougald (SEA),66,12,0.0,9,3,3,1,0,16,162.7,10.2,17.4%
15,Justin Reid (HOU),63,17,0.0,10,3,1,2,1,16,160.8,10.1,20.8%
16,Damontae Kazee (ATL),58,20,0.0,10,7,1,0,0,16,160.4,10.0,7.9%
17,Damarious Randall (LV),70,12,0.0,9,4,0,1,0,15,156.9,10.5,17.3%
18,Kevin Byard (TEN),60,25,2.0,8,4,0,0,0,16,156.6,9.8,45.3%
19,Kenny Moore II (IND),63,13,1.5,9,3,1,0,0,15,154.6,10.3,37.9%
20,Malcolm Butler (TEN),60,9,1.0,12,3,1,0,1,16,154.1,9.6,7.6%
21,Eddie Jackson (CHI),40,10,1.0,14,6,1,1,3,14,153.8,11.0,13.7%
22,Donte Jackson (CAR),62,10,1.0,9,4,1,0,0,16,150.8,9.4,6.3%
23,Quandre Diggs (SEA),64,14,0.0,8,3,0,0,1,16,147.4,9.2,3.2%
24,Prince Amukamara (LV),57,9,0.0,12,3,2,0,1,15,147.2,9.8,2.1%
25,Brian Poole (NYJ),52,20,3.0,6,3,0,2,0,16,146.7,9.2,2.7%
26,Tre Boston (CAR),65,13,0.0,9,3,1,1,0,14,146.4,10.5,3.7%
27,Justin Simmons (DEN),70,26,0.0,4,3,0,0,0,16,146.1,9.1,41.6%
28,Eli Apple (CAR),62,12,0.0,14,2,1,2,0,15,145.3,9.7,3.1%
29,Landon Collins (WAS),68,28,0.0,4,0,1,0,0,12,145.1,12.1,63.8%
30,Steven Nelson (PIT),58,10,0.0,15,4,0,0,0,16,143.1,8.9,4.5%
31,Kendall Fuller (WAS),64,18,0.0,11,2,1,0,0,15,142.9,9.5,18.7%
32,Marshon Lattimore (NO),49,10,0.0,12,2,4,3,0,16,141.4,8.8,28.2%
33,Reshad Jones (FA),57,14,0.0,9,3,0,0,1,14,140.8,10.1,3.7%
34,Travis Carrie (IND),57,16,1.0,9,1,2,1,0,16,139.7,8.7,0.5%
35,T.J. McDonald (FA),62,23,0.0,5,3,0,1,0,14,139.6,10.0,0.0%
36,Vonn Bell (CIN),60,26,1.0,4,0,1,1,0,16,139.4,8.7,43.0%
37,Kyle Fuller (CHI),45,10,0.0,19,7,0,0,0,16,138.9,8.7,39.8%
38,Pierre Desir (NYJ),61,19,0.0,8,1,2,1,0,16,137.8,8.6,7.7%
39,Jeff Heath (LV),61,19,0.0,5,1,1,0,0,16,137.5,8.6,3.4%
40,Janoris Jenkins (NO),58,11,0.0,15,2,1,0,0,16,137.1,8.6,9.1%
41,Tony Jefferson (FA),53,21,1.0,6,1,1,1,0,14,136.7,9.8,1.8%
42,Curtis Riley (FA),61,12,0.0,6,4,0,0,1,16,136.0,8.5,0.2%
43,James Bradberry (NYG),59,12,1.0,15,1,1,0,0,16,135.9,8.5,16.3%
44,Adoree' Jackson (TEN),66,7,0.0,10,2,0,0,0,16,134.4,8.4,11.6%
45,Logan Ryan (FA),54,22,4.0,8,0,0,0,0,14,134.3,9.6,23.1%
46,Jalen Ramsey (LAR),62,3,0.0,13,3,0,0,0,16,133.4,8.3,23.5%
47,Ron Parker (FA),63,12,1.0,5,2,0,0,1,15,133.1,8.9,0.0%
48,Adrian Phillips (NE),54,23,0.0,10,1,1,0,0,16,132.5,8.3,6.6%
49,Jabrill Peppers (NYG),51,26,1.0,4,1,0,2,0,16,132.1,8.3,46.3%
50,Minkah Fitzpatrick (PIT),49,30,0.0,9,2,0,0,1,16,130.9,8.2,55.6%
51,Adrian Amos (GB),57,13,1.0,8,2,0,1,0,16,130.7,8.2,18.4%
52,D.J. Swearinger Sr. (NO),43,10,2.0,10,4,3,1,0,15,129.8,8.7,2.3%
53,Desmond King (LAC),46,14,0.0,9,3,0,1,1,16,128.3,8.0,27.2%
54,Devin McCourty (NE),54,22,0.0,4,1,1,2,1,16,127.7,8.0,14.5%
55,Lamarcus Joyner (LV),58,20,1.0,3,1,0,1,0,15,127.3,8.5,3.3%
56,Josh Norman (BUF),40,24,0.0,9,3,3,1,0,16,126.2,7.9,3.8%
57,Denzel Ward (CLE),41,12,0.0,11,3,1,2,0,13,125.9,9.7,16.8%
58,Mike Adams (FA),47,28,0.0,6,3,0,0,0,16,123.6,7.7,0.4%
59,Jaire Alexander (GB),59,5,0.5,10,1,0,0,0,13,122.8,9.4,17.4%
60,Joe Haden (PIT),50,13,0.0,12,2,1,0,0,15,122.0,8.1,19.1%
61,Chidobe Awuzie (DAL),57,14,0.0,11,1,1,0,0,15,121.9,8.1,25.3%
62,Stephon Gilmore (NE),40,5,1.0,19,2,2,1,0,16,121.0,7.6,30.6%
63,Jordan Whitehead (TB),61,16,0.0,4,0,0,0,0,15,119.7,8.0,4.8%
64,Sean Davis (WAS),58,21,0.0,7,1,0,0,0,15,118.7,7.9,1.8%
65,Morris Claiborne (FA),44,13,0.0,14,2,0,0,1,15,118.0,7.9,0.5%
66,Tre Flowers (SEA),54,12,0.0,6,0,3,1,0,15,117.7,7.8,25.1%
67,Clayton Geathers (FA),59,27,0.0,3,0,1,0,0,12,117.7,9.8,1.4%
68,Mike Hilton (PIT),43,13,1.0,7,1,0,2,0,15,117.0,7.8,5.0%
69,Shaquill Griffin (SEA),54,8,0.0,8,2,0,0,0,16,116.7,7.3,15.5%
70,Johnathan Joseph (TEN),48,9,0.0,13,2,0,0,1,14,116.2,8.3,1.8%
71,Jason McCourty (NE),53,15,0.0,9,1,1,0,0,16,116.1,7.3,2.8%
72,Desmond Trufant (DET),55,11,1.0,12,0,0,0,0,16,115.6,7.2,1.8%
73,Terrell Edmunds (PIT),52,21,1.0,4,1,0,1,0,16,115.6,7.2,31.2%
74,Byron Jones (MIA),54,11,0.0,14,0,0,0,0,16,115.4,7.2,4.8%
75,Rasul Douglas (PHI),48,9,0.0,4,3,0,0,0,16,114.9,7.2,2.5%
76,P.J. Williams (NO),44,9,1.0,9,1,2,0,1,15,114.5,7.6,1.3%
77,Patrick Chung (NE),51,29,0.5,3,1,0,1,0,15,114.3,7.6,3.1%
78,Bobby McCain (MIA),51,11,2.0,5,1,0,0,0,14,113.0,8.1,0.7%
79,Darqueze Dennard (FA),53,13,0.0,6,0,2,1,0,13,113.0,8.7,0.4%
80,Eric Reid (FA),49,21,1.0,5,1,0,0,0,13,112.7,8.7,23.8%
81,Jahleel Addae (FA),51,23,1.0,3,1,0,1,0,16,112.6,7.0,0.7%
82,Buster Skrine (CHI),51,6,0.5,7,0,1,1,0,14,111.7,8.0,1.4%
83,B.W. Webb (FA),52,7,1.0,6,1,1,0,0,16,110.5,6.9,0.2%
84,Glover Quin (FA),58,16,1.0,3,0,0,0,0,16,110.3,6.9,0.4%
85,Darius Slay (PHI),40,3,0.0,16,3,0,0,1,15,109.9,7.3,10.8%
86,Chris Harris Jr. (LAC),40,9,1.0,10,3,0,0,1,12,109.4,9.1,4.4%
87,Mackensie Alexander (CIN),36,7,4.0,10,0,0,0,0,15,108.7,7.2,0.7%
88,Jonathan Jones (NE),39,11,1.5,7,3,1,0,0,16,106.6,6.7,1.8%
89,Bryce Callahan (DEN),40,5,2.0,6,2,0,0,0,13,105.9,8.1,1.1%
90,Tavon Young (BAL),34,2,2.0,5,1,0,2,2,15,105.6,7.0,0.7%
91,Patrick Peterson (ARI),45,9,1.0,5,2,0,1,0,16,105.6,6.6,10.8%
92,Bradley Roby (HOU),45,5,0.0,12,1,2,0,0,15,104.9,7.0,6.1%
93,Xavien Howard (MIA),25,10,0.0,12,7,0,1,0,12,104.8,8.7,2.8%
94,Eric Weddle (FA),54,13,1.0,3,0,0,0,0,16,104.6,6.5,22.5%
95,Elijah Lee (DET),51,11,1.0,2,0,1,0,0,16,104.3,6.5,0.0%
96,Darian Stewart (FA),46,15,1.0,3,2,0,1,0,14,103.1,7.4,0.2%
97,Rashaan Melvin (JAC),52,4,0.0,9,1,0,0,0,14,102.2,7.3,1.1%
98,Captain Munnerlyn (FA),38,9,2.0,9,1,0,1,0,16,102.0,6.4,0.2%
99,Marcus Williams (NO),46,9,1.0,3,2,1,1,0,16,101.1,6.3,9.9%
100,Kenny Vaccaro (TEN),40,19,2.0,4,1,0,0,0,13,101.1,7.8,7.8%
101,Trumaine Johnson (FA),35,4,0.0,5,4,1,1,1,10,99.6,10.0,0.4%
102,Marlon Humphrey (BAL),31,5,0.0,15,2,1,0,0,14,98.9,7.1,40.2%
103,Tre'Davious White (BUF),44,10,0.0,8,2,0,0,0,16,98.3,6.1,39.3%
104,Micah Hyde (BUF),41,16,0.0,5,2,0,1,0,15,97.9,6.5,27.6%
105,Xavier Woods (DAL),38,17,0.0,9,2,1,0,0,14,97.6,7.0,10.8%
106,Justin Evans (TB),43,16,0.0,2,1,0,1,1,10,97.3,9.7,5.1%
107,Justin Coleman (DET),33,11,0.5,10,1,1,2,1,16,96.7,6.0,1.4%
108,Fabian Moreau (WAS),37,21,0.0,5,1,3,0,0,16,94.6,5.9,0.7%
109,Marcus Gilchrist (FA),37,18,0.0,6,3,0,0,0,16,93.4,5.8,0.0%
110,Tashaun Gipson Sr. (CHI),44,11,0.0,7,1,0,0,0,16,92.7,5.8,2.9%
111,Nevin Lawson (LV),43,10,1.0,5,0,0,0,0,15,92.6,6.2,0.2%
112,Anthony Brown (DAL),36,6,2.0,7,1,1,0,0,15,91.2,6.1,0.7%
113,Marcus Peters (BAL),33,10,0.0,8,3,0,0,1,16,90.2,5.6,18.7%
114,Brandon Carr (FA),39,6,0.0,11,2,0,0,0,16,89.8,5.6,0.2%
115,Gareon Conley (HOU),24,13,0.0,15,3,0,0,1,15,89.6,6.0,2.9%
116,A.J. Bouye (DEN),45,8,0.0,8,1,0,0,0,13,89.3,6.9,6.4%
117,Corey Graham (FA),40,12,0.0,5,1,0,1,0,13,88.9,6.8,0.0%
118,Orlando Scandrick (FA),38,6,0.0,12,1,1,0,0,15,88.8,5.9,0.4%
119,Bene Benwikere (FA),38,12,0.5,4,1,1,0,0,14,88.3,6.3,0.0%
120,Michael Thomas (HOU),32,15,1.0,6,2,0,0,0,16,87.5,5.5,0.2%
121,Ronald Darby (WAS),39,4,0.0,12,1,0,0,0,9,87.1,9.7,3.2%
122,Darryl Roberts (DET),39,6,0.0,7,1,0,0,0,16,86.2,5.4,5.2%
123,Eric Murray (HOU),43,12,0.0,3,1,0,0,0,15,85.8,5.7,1.1%
124,Antone Exum Jr. (FA),32,5,1.0,6,1,1,0,1,15,85.6,5.7,0.0%
125,Erik Harris (LV),33,11,0.0,7,2,0,0,0,16,83.4,5.2,14.3%
126,D.J. Hayden (JAC),38,7,1.0,4,1,0,0,0,10,82.4,8.2,2.2%
127,Jimmy Smith (BAL),33,10,0.0,8,2,0,0,0,12,81.8,6.8,1.4%
128,Andrew Adams (TB),27,10,0.0,9,4,0,0,0,13,81.7,6.3,1.1%
129,Xavier Rhodes (IND),41,6,0.0,7,1,0,0,0,14,81.6,5.8,3.6%
130,Duron Harmon (DET),32,6,0.0,4,4,0,1,0,16,81.3,5.1,0.9%
131,William Jackson (CIN),34,7,0.0,13,0,0,0,0,16,81.0,5.1,0.4%
132,Terrance Mitchell (CLE),35,3,0.0,6,1,2,1,0,8,80.9,10.1,0.7%
133,Brent Grimes (FA),42,6,0.0,6,0,1,0,0,13,80.6,6.2,0.2%
134,Robert Alford (ARI),42,7,0.0,10,0,0,0,0,15,80.4,5.4,0.7%
135,Casey Hayward (LAC),41,5,0.0,8,0,0,0,0,16,79.9,5.0,2.3%
136,Briean Boddy-Calhoun (FA),42,10,0.0,3,0,1,0,0,16,79.3,5.0,0.0%
137,Anthony Harris (MIN),31,11,0.0,6,3,0,0,0,15,79.0,5.3,8.4%
138,Karl Joseph (CLE),32,13,2.0,2,1,0,0,0,13,79.0,6.1,7.1%
139,Quinton Dunbar (SEA),35,4,0.0,9,2,0,0,0,7,78.4,11.2,2.5%
140,Josh Jones (JAC),37,14,1.0,2,0,0,0,0,13,78.1,6.0,0.0%
141,Coty Sensabaugh (FA),39,5,0.0,6,0,1,0,0,15,77.9,5.2,0.0%
142,Tramon Williams (FA),40,14,0.0,2,0,0,1,0,16,77.8,4.9,0.0%
143,Dre Kirkpatrick (FA),35,6,0.0,8,0,0,0,0,13,77.1,5.9,0.7%
144,Josh Jackson (GB),34,11,0.0,10,0,0,0,0,16,76.9,4.8,1.1%
145,Tedric Thompson (FA),38,14,0.0,3,1,0,0,0,14,76.5,5.5,0.2%
146,K'Waun Williams (SF),40,5,0.0,2,0,0,0,0,14,75.9,5.4,1.1%
147,Isaiah Johnson (FA),40,5,0.0,2,1,0,1,0,15,75.8,5.1,0.0%
148,Malik Hooker (IND),30,14,0.0,4,2,0,1,0,14,75.7,5.4,4.7%
149,Taron Johnson (BUF),33,8,1.0,3,1,1,0,0,11,75.7,6.9,1.6%
150,Kentrell Brice (CHI),39,10,1.0,2,0,0,0,0,14,75.0,5.4,0.2%
151,Trae Waynes (CIN),35,8,0.0,8,1,0,0,0,14,74.9,5.4,3.4%
152,Jalen Mills (PHI),36,6,0.0,9,0,0,0,0,8,74.6,9.3,4.9%
153,Jaquiski Tartt (SF),31,10,0.0,2,1,0,0,0,8,73.7,9.2,4.2%
154,Carlton Davis (TB),36,4,0.0,4,0,1,1,0,13,73.6,5.7,16.1%
155,Nicholas Morrow (LV),26,11,1.0,3,0,1,0,0,16,72.5,4.5,3.3%
156,Barry Church (FA),32,6,1.0,2,1,0,0,0,11,72.2,6.6,1.3%
157,Richard Sherman (SF),30,7,1.0,4,0,0,1,0,14,70.5,5.0,14.2%
158,Daryl Worley (DAL),30,3,0.0,7,1,0,0,0,10,70.4,7.0,2.2%
159,Michael Davis (LAC),34,9,0.0,8,0,0,0,0,16,70.1,4.4,0.2%
160,Avonte Maddox (PHI),25,7,0.5,4,2,1,0,0,13,67.4,5.2,0.7%
161,Ryan Smith (TB),26,7,0.0,5,1,1,1,0,16,67.4,4.2,0.5%
162,Troy Hill (LAR),29,5,0.0,5,2,0,0,0,16,67.3,4.2,19.1%
163,Rafael Bush (FA),31,14,1.5,0,0,0,0,0,15,66.9,4.5,0.0%
164,Sharrod Neasman (ATL),30,13,0.0,4,0,0,0,0,12,66.0,5.5,0.0%
165,Greg Stroman (WAS),30,7,0.0,4,1,1,0,0,15,65.4,4.4,0.0%
166,D.J. Reed (SF),28,9,1.0,0,0,1,0,0,15,64.4,4.3,0.4%
167,Ronnie Harrison (JAC),23,8,1.0,3,1,0,0,0,14,61.6,4.4,21.3%
168,Nickell Robey-Coleman (PHI),23,11,0.0,4,1,0,0,0,16,61.6,3.9,1.3%
169,Holton Hill (MIN),28,5,0.0,5,1,0,0,0,16,61.0,3.8,0.4%
170,J.C. Jackson (NE),22,2,0.0,6,3,0,0,0,13,61.0,4.7,1.4%
171,Derrick Kindred (SF),28,10,0.0,1,1,1,0,0,16,61.0,3.8,0.0%
172,Will Parks (PHI),23,15,0.0,3,1,1,0,0,16,59.6,3.7,0.5%
173,Marcus Maye (NYJ),28,4,0.5,2,1,1,0,0,6,59.1,9.9,3.3%
174,Grant Haley (NYG),29,4,0.0,3,0,0,0,0,10,58.6,5.9,0.4%
175,Levi Wallace (BUF),25,13,0.0,3,0,1,0,0,7,58.5,8.4,2.1%
176,Shareece Wright (FA),25,7,0.0,5,0,0,0,0,12,58.1,4.8,0.0%
177,Ahkello Witherspoon (SF),30,7,0.0,4,0,0,0,0,14,56.5,4.0,0.5%
178,Bashaud Breeland (KC),16,4,0.0,4,2,0,1,1,7,55.5,7.9,2.2%
179,Tavon Wilson (FA),27,5,1.0,0,0,0,0,0,15,54.1,3.6,3.4%
180,Tony Brown (CIN),24,5,0.0,5,0,1,0,0,11,53.8,4.9,0.0%
181,Ken Crawley (LV),28,4,0.0,4,0,0,0,0,10,53.7,5.4,0.2%
182,Phillip Gaines (HOU),28,8,0.0,2,0,0,0,0,11,53.6,4.9,0.2%
183,Anthony Levine Sr. (BAL),18,3,1.0,8,1,0,0,0,16,52.9,3.3,36.0%
184,Michael Mitchell (FA),22,6,0.0,1,1,2,0,0,8,52.1,6.5,0.0%
185,Aqib Talib (FA),18,5,0.0,5,1,1,1,0,8,51.3,6.4,0.5%
186,Jordan Richards (BAL),26,11,0.0,3,0,0,0,0,14,51.3,3.7,0.2%
187,Mike Hughes (MIN),18,3,0.0,3,1,1,0,1,6,51.3,8.6,28.4%
188,Earl Thomas (BAL),16,6,0.0,5,3,0,0,0,4,51.1,12.8,14.0%
189,Sherrick McManis (CHI),19,2,1.0,4,1,0,0,0,15,50.1,3.3,0.2%
190,M.J. Stewart (TB),27,2,0.0,3,0,0,0,0,11,50.1,4.6,1.3%
191,Marcell Harris (SF),22,9,0.0,0,0,0,0,0,8,49.8,6.2,0.9%
192,Jordan Lucas (CHI),19,9,1.0,2,1,0,0,0,16,49.8,3.1,0.2%
193,Reggie Nelson (FA),22,4,0.0,2,2,0,0,0,11,49.1,4.5,0.0%
194,Montae Nicholson (FA),26,12,0.0,1,0,0,0,0,14,48.2,3.4,0.4%
195,Aaron Colvin (WAS),22,7,0.0,1,0,0,2,0,10,47.9,4.8,0.2%
196,Daniel Sorensen (KC),14,11,0.0,2,1,0,1,1,7,47.4,6.8,1.4%
197,Javien Elliott (FA),21,2,0.0,1,1,0,0,0,15,47.1,3.1,0.0%
198,Morgan Burnett (FA),17,14,0.0,5,0,0,0,0,11,46.3,4.2,1.4%
199,Quincy Wilson (NYJ),20,7,0.0,2,1,0,1,0,13,46.0,3.5,0.0%
200,Marqui Christian (FA),26,7,0.0,1,0,0,0,0,16,46.0,2.9,0.0%
201,Clayton Fejedelem (MIA),18,4,0.0,0,0,1,1,1,16,44.1,2.8,1.0%
202,Kurt Coleman (FA),21,9,0.0,0,0,1,0,0,16,44.1,2.8,0.2%
203,Sidney Jones (PHI),21,4,0.0,2,0,0,0,0,9,42.7,4.7,0.5%
204,Delano Hill (SEA),15,9,0.0,1,0,0,1,0,13,42.5,3.3,0.4%
205,Trevor Williams (PHI),19,3,0.0,4,1,0,0,0,9,41.8,4.6,0.2%
206,Nate Hairston (NYJ),24,5,0.0,1,0,0,0,0,13,41.4,3.2,0.2%
207,Isaiah Oliver (ATL),16,2,0.0,7,1,0,0,0,14,41.1,2.9,3.1%
208,Mike Ford (DET),24,1,0.0,1,0,0,0,0,7,40.8,5.8,0.0%
209,Torry McTyer (CIN),21,8,0.0,2,0,0,0,0,15,40.7,2.7,0.0%
210,Tramaine Brock (FA),19,4,0.0,6,0,0,0,0,12,40.7,3.4,0.0%
211,Sam Shields (FA),16,3,0.0,4,1,0,0,0,16,39.9,2.5,6.0%
212,Leon Hall (FA),22,3,0.0,3,0,0,0,0,10,39.8,4.0,0.0%
213,Cre'von LeBlanc (PHI),22,3,0.0,1,0,0,0,0,11,39.3,3.6,0.4%
214,Andrew Sendejo (CLE),21,6,0.0,1,0,0,0,0,5,38.4,7.7,1.8%
215,Jayron Kearse (DET),15,3,0.5,2,0,0,0,0,16,37.6,2.4,0.4%
216,Jermaine Whitehead (FA),14,6,1.0,2,0,0,0,0,14,36.9,2.6,1.7%
217,David Amerson (FA),17,4,0.0,2,1,0,0,0,6,36.7,6.1,0.0%
218,Kendrick Lewis (FA),18,7,0.0,1,0,0,0,0,13,36.4,2.8,0.0%
219,Kevin King (GB),13,3,0.0,2,1,0,1,0,6,36.3,6.1,21.1%
220,Josh Harvey-Clemons (WAS),15,3,1.0,3,0,0,0,0,16,35.9,2.2,0.2%
221,Cameron Sutton (PIT),18,1,0.0,3,1,0,0,0,15,35.8,2.4,0.4%
222,Matthias Farley (NYJ),10,7,0.0,4,1,1,0,0,5,35.4,7.1,0.0%
223,Dre Hal (FA),5,7,0.0,5,3,0,0,0,8,35.4,4.4,0.0%
224,Doug Middleton (JAC),18,4,0.0,3,0,0,0,0,7,34.6,4.9,0.0%
225,Sean Chandler (NYG),14,2,1.0,1,0,0,1,0,16,34.6,2.2,0.2%
226,Artie Burns (CHI),15,4,0.0,1,0,1,0,0,16,33.6,2.1,0.0%
227,Tarvarius Moore (SF),16,3,0.0,2,0,1,0,0,16,33.3,2.1,0.5%
228,Darius Phillips (CIN),18,1,0.0,2,0,1,0,0,15,33.3,2.2,0.9%
229,Isaac Yiadom (DEN),14,3,0.0,3,1,0,0,0,13,32.9,2.5,0.5%
230,Ibraheim Campbell (TEN),16,3,0.0,0,0,1,0,0,8,32.8,4.1,0.2%
231,Ricardo Allen (ATL),14,3,0.0,3,1,0,0,0,3,32.8,10.9,2.7%
