Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Jordan Hicks (ARI),93,57,1.5,6,3,2,1,0,16,252.3,15.8,83.5%
2,Joe Schobert (JAC),89,44,2.0,9,4,2,1,0,16,237.9,14.9,70.0%
3,Bobby Wagner (SEA),86,73,3.0,6,1,1,1,0,16,235.8,14.7,85.6%
4,Cory Littleton (LV),78,56,3.5,9,2,2,4,0,16,235.8,14.7,79.0%
5,Shaquil Barrett (TB),45,13,19.5,2,1,6,0,0,16,235.1,14.7,57.3%
6,Darius Leonard (IND),71,50,5.0,7,5,2,0,1,13,231.2,17.8,94.4%
7,T.J. Watt (PIT),35,20,14.5,8,2,8,4,0,16,231.1,14.4,78.8%
8,Chandler Jones (ARI),42,11,19.0,5,0,8,3,0,16,226.5,14.2,60.2%
9,Blake Martinez (NYG),97,58,3.0,2,1,1,0,0,16,225.8,14.1,82.2%
10,Jaylon Smith (DAL),83,59,2.5,9,1,2,1,0,16,224.6,14.0,90.3%
11,Fred Warner (SF),89,29,3.0,9,1,3,0,1,16,221.9,13.9,73.6%
12,Demario Davis (NO),87,24,4.0,12,1,0,0,0,16,215.3,13.5,57.1%
13,Lavonte David (TB),81,41,1.0,7,1,3,1,0,16,213.2,13.3,65.6%
14,Zach Cunningham (HOU),95,42,2.0,2,0,0,2,0,16,210.9,13.2,65.5%
15,De'Vondre Campbell (ARI),75,54,2.0,5,2,3,1,0,16,209.9,13.1,33.7%
16,Luke Kuechly (FA),81,63,0.0,12,2,0,0,0,16,207.2,13.0,92.3%
17,Devin Bush (PIT),72,37,1.0,4,2,1,4,1,16,204.7,12.8,56.2%
18,Jamie Collins Sr. (DET),57,23,7.0,7,3,3,1,1,16,203.8,12.7,31.8%
19,Bud Dupree (PIT),49,19,11.5,3,0,4,2,0,16,202.5,12.7,36.4%
20,K.J. Wright (SEA),67,65,0.0,11,3,0,0,0,16,193.6,12.1,32.7%
21,Anthony Walker Jr. (IND),83,40,2.5,2,1,1,0,0,16,192.0,12.0,33.0%
22,Tremaine Edmunds (BUF),66,49,1.5,9,1,0,0,0,16,185.6,11.6,70.1%
23,Shaq Thompson (CAR),75,34,3.0,3,0,0,0,0,14,182.4,13.0,40.5%
24,Devin White (TB),58,33,2.5,3,1,3,4,2,13,181.6,14.0,58.3%
25,Jerome Baker (MIA),74,50,1.5,4,1,2,0,0,16,181.5,11.3,29.8%
26,Eric Kendricks (MIN),70,40,0.5,12,0,2,2,0,15,181.1,12.1,46.0%
27,Rashaan Evans (TEN),69,42,2.5,0,0,0,1,1,16,177.9,11.1,26.5%
28,Deion Jones (ATL),68,42,0.0,5,1,0,1,1,16,176.4,11.0,50.7%
29,Todd Davis (DEN),78,56,0.0,1,0,0,0,0,15,175.8,11.7,31.3%
30,Za'Darius Smith (GB),41,14,13.5,0,0,1,0,0,16,172.8,10.8,27.8%
31,Matt Milano (BUF),64,36,1.5,9,0,1,1,0,15,168.4,11.2,34.0%
32,Harold Landry III (TEN),43,25,9.0,1,1,1,2,0,16,168.1,10.5,17.9%
33,Jayon Brown (TEN),68,36,1.0,8,1,0,1,1,14,167.8,12.0,40.8%
34,Nick Vigil (LAC),60,51,1.0,5,1,1,2,0,16,164.6,10.3,15.1%
35,Markus Golden (FA),37,35,10.0,0,0,0,1,1,16,164.5,10.3,5.3%
36,Matt Judon (BAL),43,11,9.5,0,0,4,0,0,16,162.1,10.1,29.8%
37,Cole Holcomb (WAS),70,31,1.0,1,0,3,0,0,16,161.0,10.1,12.8%
38,Preston Smith (GB),36,20,12.0,4,1,1,0,0,16,159.9,10.0,19.2%
39,Tahir Whitehead (CAR),79,29,0.0,1,0,0,0,0,16,157.1,9.8,14.7%
40,Roquan Smith (CHI),65,35,2.0,2,1,0,0,0,12,152.4,12.7,69.5%
41,Khalil Mack (CHI),40,7,8.5,4,0,5,1,0,16,149.6,9.4,60.5%
42,A.J. Johnson (DEN),51,42,1.5,3,1,2,1,0,15,148.4,9.9,6.0%
43,Thomas Davis Sr. (WAS),65,47,1.0,2,0,0,0,0,16,147.6,9.2,9.5%
44,Kyle Van Noy (MIA),41,15,6.5,3,0,3,2,1,16,147.1,9.2,19.6%
45,Benardrick McKinney (HOU),54,47,1.0,3,0,1,2,0,14,147.1,10.5,17.1%
46,Dont'a Hightower (NE),47,24,5.5,4,0,0,1,1,15,146.9,9.8,10.2%
47,Whitney Mercilus (HOU),33,15,7.5,2,2,4,1,0,16,146.6,9.2,14.4%
48,Devon Kennard (ARI),45,13,7.0,0,0,1,2,1,16,146.0,9.1,4.6%
