Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
63,Mychal Kendricks (FA),51,22,2.0,6,0,0,0,0,15,125.4,8.4,1.4%
64,Todd Davis (DEN),48,34,1.0,0,0,0,0,0,14,123.8,8.8,31.3%
65,Clay Matthews (FA),27,16,7.5,2,0,1,1,0,14,121.7,8.7,5.0%
66,Reuben Foster (WAS),59,13,0.0,1,0,0,0,0,10,117.5,11.8,8.1%
67,Hayes Pullard (FA),47,25,0.0,1,1,0,1,0,13,116.7,9.0,0.0%
68,Elandon Roberts (MIA),45,22,2.0,1,0,0,1,0,15,114.5,7.6,21.7%
69,Jatavis Brown (PHI),54,22,0.0,1,0,0,1,0,16,112.8,7.1,3.2%
70,Manti Te'o (FA),42,20,0.0,3,0,0,1,0,16,110.4,6.9,0.2%
71,Ray-Ray Armstrong (FA),41,19,1.0,2,2,1,0,0,15,108.7,7.2,0.0%
72,A.J. Klein (BUF),37,17,2.0,4,0,1,0,0,12,107.5,9.0,1.8%
73,Martrell Spaight (FA),41,28,0.0,2,0,0,1,0,15,106.5,7.1,0.0%
74,Paul Posluszny (FA),42,18,1.5,2,0,0,0,0,16,105.5,6.6,4.7%
75,Bud Dupree (PIT),31,9,6.0,1,0,0,1,0,15,105.1,7.0,36.4%
76,Brian Orakpo (FA),30,14,7.0,2,0,3,0,0,16,104.3,6.5,0.0%
77,Shaq Thompson (CAR),37,20,2.0,1,0,0,0,0,14,102.8,7.3,40.5%
78,Jordan Jenkins (NYJ),30,16,3.0,2,0,1,2,0,16,100.5,6.3,3.1%
79,Barkevious Mingo (CHI),32,12,2.0,2,0,3,3,0,16,98.9,6.2,0.2%
80,Shaquil Barrett (TB),30,6,4.0,0,0,2,1,0,16,97.3,6.1,57.3%
81,John Simon (NE),27,15,3.0,1,1,0,0,1,9,96.9,10.8,3.0%
82,Cory James (FA),42,14,0.0,1,0,1,0,0,10,96.4,9.6,0.0%
83,Brock Coyle (FA),36,26,0.5,1,0,1,0,0,16,95.8,6.0,0.0%
84,Korey Toomer (FA),29,18,1.0,3,1,2,0,1,15,95.6,6.4,0.0%
85,Devon Kennard (ARI),24,17,4.0,2,0,0,1,0,15,95.5,6.4,4.6%
86,Leonard Floyd (LAR),24,10,4.5,2,0,0,1,0,10,95.4,9.5,3.6%
87,Calvin Munson (MIA),35,20,2.0,0,0,1,0,0,14,95.3,6.8,0.0%
88,Nick Perry (FA),23,15,7.0,0,0,1,1,0,12,93.1,7.8,0.0%
89,Derrick Morgan (FA),16,16,7.5,2,0,0,2,0,14,89.3,6.4,0.0%
90,Jayon Brown (TEN),37,14,1.5,4,0,0,1,0,16,87.4,5.5,40.8%
91,Vic Beasley Jr. (TEN),23,6,5.0,2,0,1,0,0,14,87.0,6.2,4.9%
92,Nick Kwiatkoski (LV),34,11,2.0,2,0,1,0,0,11,86.9,7.9,32.2%
93,BJ Goodson (CLE),37,16,0.0,2,0,1,0,0,7,85.2,12.2,1.4%
94,Kelvin Sheppard (FA),32,17,0.0,4,2,0,0,0,7,84.9,12.1,1.0%
95,Zach Vigil (FA),37,18,0.0,2,0,0,1,0,7,84.1,12.0,0.0%
96,Matt Milano (BUF),29,14,0.0,2,1,0,1,1,16,82.1,5.1,34.0%
97,Erik Walden (FA),25,11,4.0,0,0,0,1,0,16,81.4,5.1,0.0%
98,Lamarr Houston (FA),14,3,5.0,1,0,1,1,1,10,76.4,7.6,0.0%
99,Jamie Collins Sr. (DET),21,10,1.0,3,1,1,0,0,6,74.3,12.4,31.8%
100,Marquis Flowers (FA),23,7,3.5,1,0,1,0,0,16,73.5,4.6,0.0%
101,Sam Acho (FA),27,13,3.0,1,0,1,0,0,16,72.1,4.5,0.0%
102,Frank Zombo (FA),22,17,1.5,0,0,0,1,0,16,70.6,4.4,3.0%
