Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Darius Leonard (IND),111,50,7.0,8,2,4,2,0,15,309.2,20.6,94.4%
2,Luke Kuechly (FA),93,37,2.0,6,1,2,1,0,16,252.3,15.8,92.3%
3,Cory Littleton (LV),91,34,4.0,13,3,0,0,1,16,240.6,15.0,79.0%
4,Blake Martinez (NYG),93,53,5.0,3,0,0,0,0,16,228.5,14.3,82.2%
5,Bobby Wagner (SEA),82,55,1.0,10,1,2,1,1,15,222.5,14.8,85.6%
6,Lavonte David (TB),95,24,3.5,2,0,1,2,0,14,220.8,15.8,65.6%
7,Telvin Smith Sr. (FA),100,33,1.0,2,2,1,1,1,16,216.8,13.6,2.0%
8,Roquan Smith (CHI),90,33,5.0,5,1,1,0,0,16,216.7,13.5,69.5%
9,Leighton Vander Esch (DAL),103,36,0.0,7,2,0,0,0,16,210.3,13.1,80.3%
10,Jaylon Smith (DAL),82,39,4.0,4,0,2,2,1,16,210.2,13.1,90.3%
11,Tremaine Edmunds (BUF),80,41,2.0,11,2,2,0,0,15,206.1,13.7,70.1%
12,T.J. Watt (PIT),51,17,13.0,3,0,6,0,0,16,205.6,12.9,78.8%
13,Demario Davis (NO),74,36,5.0,4,0,2,1,0,16,202.4,12.7,57.1%
14,Mason Foster (FA),84,49,1.0,4,2,0,2,0,16,201.8,12.6,0.7%
15,Kiko Alonso (NO),81,44,0.0,6,3,3,1,0,15,200.8,13.4,4.1%
16,Jamie Collins Sr. (DET),74,30,4.0,4,1,1,1,0,16,200.6,12.5,31.8%
17,Tahir Whitehead (CAR),87,37,0.0,5,1,1,0,0,16,197.8,12.4,14.7%
18,Avery Williamson (NYJ),79,42,3.0,6,1,2,1,0,16,196.6,12.3,8.5%
19,Jayon Brown (TEN),63,34,6.0,6,1,2,1,1,16,196.5,12.3,40.8%
20,Jarrad Davis (DET),73,26,6.0,5,0,1,1,0,16,193.2,12.1,15.1%
21,Danny Trevathan (CHI),78,25,2.0,5,2,1,1,0,16,189.5,11.8,20.2%
22,Todd Davis (DEN),81,33,0.5,7,1,0,0,1,16,187.8,11.7,31.3%
23,Khalil Mack (CHI),37,10,12.5,4,1,6,2,1,14,187.4,13.4,60.5%
24,Anthony Hitchens (KC),82,55,0.0,0,0,1,0,0,15,186.0,12.4,15.6%
25,Von Miller (DEN),28,20,14.0,3,1,4,3,0,16,183.3,11.5,35.2%
26,Alec Ogletree (FA),58,35,1.0,8,5,0,0,2,13,181.6,14.0,7.1%
27,Fred Warner (SF),84,39,0.0,6,0,1,1,0,16,180.1,11.3,73.6%
28,Kyle Van Noy (MIA),55,34,3.5,2,1,1,2,1,16,174.3,10.9,19.6%
29,Lorenzo Alexander (FA),50,18,6.5,9,2,1,1,0,16,173.9,10.9,2.2%
30,Wesley Woodyard (FA),70,41,4.5,2,0,0,1,0,14,173.6,12.4,2.5%
31,Bradley Chubb (DEN),43,16,12.0,1,0,2,1,0,16,173.4,10.8,46.4%
32,Anthony Walker Jr. (IND),69,34,1.0,4,1,0,1,0,15,172.5,11.5,33.0%
33,Joe Schobert (JAC),58,47,3.0,6,1,2,2,0,13,172.2,13.2,70.0%
34,Zach Cunningham (HOU),73,32,0.0,5,1,2,1,1,14,171.9,12.3,65.5%
35,Matt Milano (BUF),52,26,1.0,7,3,0,3,0,13,169.2,13.0,34.0%
36,Myles Jack (JAC),74,32,2.5,1,1,1,1,1,16,168.6,10.5,18.7%
37,Zach Brown (FA),69,30,1.0,1,0,2,0,0,16,166.4,10.4,1.1%
38,Benardrick McKinney (HOU),64,41,1.5,7,1,1,0,0,16,162.8,10.2,17.1%
39,C.J. Mosley (NYJ),71,35,0.5,5,1,0,0,0,15,162.8,10.9,41.0%
40,Eric Kendricks (MIN),63,45,1.0,7,2,1,1,0,14,160.0,11.4,46.0%
41,Raekwon McMillan (MIA),69,34,0.0,1,0,2,1,0,16,156.8,9.8,5.2%
42,Nigel Bradham (FA),67,30,2.0,4,0,0,1,0,15,151.4,10.1,3.9%
43,Jordan Hicks (ARI),60,30,3.0,5,0,0,1,0,12,148.0,12.3,83.5%
44,Haason Reddick (ARI),53,27,4.0,5,0,1,0,0,16,147.7,9.2,5.5%
45,Vince Williams (PIT),50,25,4.5,2,1,0,0,1,14,147.5,10.5,5.2%
46,Ryan Kerrigan (WAS),29,12,12.0,1,0,2,1,0,16,141.8,8.9,7.6%
47,Jatavis Brown (PHI),60,33,1.0,5,0,1,0,0,15,140.6,9.4,3.2%
48,Jerome Baker (MIA),56,21,3.0,3,1,0,0,1,16,137.5,8.6,29.8%
49,Josh Bynes (CIN),52,23,2.0,5,0,0,1,1,11,134.3,12.2,5.0%
50,De'Vondre Campbell (ARI),63,30,1.5,0,0,0,0,0,16,131.0,8.2,33.7%
51,Nick Vigil (LAC),62,22,0.0,3,0,0,1,0,11,130.7,11.9,15.1%
52,Darron Lee (FA),43,30,0.0,5,3,0,0,1,12,128.3,10.7,0.5%
53,Terrell Suggs (FA),25,9,7.0,6,0,1,1,1,16,128.1,8.0,1.0%
54,A.J. Klein (BUF),42,27,2.0,3,1,0,2,0,16,126.7,7.9,1.8%
55,Patrick Onwuasor (NYJ),35,18,5.5,3,1,2,0,0,16,126.1,7.9,6.7%
56,Kyler Fackrell (NYG),28,13,10.5,0,0,0,0,0,16,124.1,7.8,0.5%
57,Shaq Thompson (CAR),48,28,3.5,1,0,1,0,0,14,122.1,8.7,40.5%
58,Leonard Floyd (LAR),35,13,4.0,4,1,0,1,1,16,122.0,7.6,3.6%
59,Za'Darius Smith (GB),26,18,8.5,2,0,1,0,0,16,121.3,7.6,27.8%
60,Thomas Davis Sr. (WAS),46,33,0.0,6,0,0,2,0,15,119.4,8.0,9.5%
61,Bud Dupree (PIT),30,13,5.5,3,1,1,0,1,16,116.6,7.3,36.4%
62,Jon Bostic (WAS),46,28,2.5,3,0,0,0,0,16,115.9,7.2,5.9%
63,Matt Judon (BAL),28,16,7.0,3,0,1,0,0,16,115.8,7.2,29.8%
64,Foyesade Oluokun (ATL),56,32,0.0,1,0,0,0,0,16,115.0,7.2,5.9%
65,Alex Anzalone (NO),45,15,2.0,2,1,3,0,0,16,114.6,7.2,2.1%
66,Preston Smith (GB),31,21,4.0,3,1,1,1,1,16,114.5,7.2,19.2%
67,Samson Ebukam (LAR),24,15,3.0,1,1,3,2,2,16,113.1,7.1,2.5%
68,Anthony Barr (MIN),39,17,3.0,2,0,1,0,0,13,112.0,8.6,15.6%
69,Reggie Ragland (DET),48,37,0.5,1,1,0,0,0,16,111.0,6.9,1.1%
70,Devon Kennard (ARI),29,16,7.0,0,0,0,1,0,15,110.3,7.4,4.6%
71,Christian Jones (DET),49,20,1.0,3,0,1,0,0,16,108.8,6.8,1.5%
72,BJ Goodson (CLE),43,17,0.5,4,2,0,1,0,15,107.1,7.1,1.4%
73,Deion Jones (ATL),34,18,1.0,6,2,1,0,1,6,100.2,16.7,50.7%
74,Adarius Taylor (FA),38,19,1.0,5,1,1,0,0,15,99.7,6.6,0.0%
75,Jordan Jenkins (NYJ),24,9,7.0,0,0,2,2,0,16,99.5,6.2,3.1%
76,Elandon Roberts (MIA),30,33,1.0,4,0,0,0,0,16,98.2,6.1,21.7%
77,Mark Barron (FA),44,17,1.0,1,0,1,0,0,12,96.0,8.0,2.9%
78,Genard Avery (PHI),28,9,4.5,4,0,1,1,0,16,93.4,5.8,0.2%
79,Jordan Evans (CIN),38,21,1.5,3,1,0,0,0,14,91.0,6.5,0.7%
80,Kenny Young (LAR),38,10,2.5,1,0,1,0,0,16,90.3,5.6,0.9%
81,Clay Matthews (FA),29,14,3.5,0,0,1,0,0,16,89.8,5.6,5.0%
82,Lorenzo Carter (NYG),28,11,4.0,3,0,0,0,0,15,88.6,5.9,9.6%
83,Kwon Alexander (SF),34,11,1.0,2,0,2,0,0,6,87.9,14.7,57.3%
84,Brandon Copeland (NE),23,11,5.0,2,0,0,0,0,16,86.0,5.4,0.7%
85,Harold Landry III (TEN),22,18,4.5,2,0,1,0,0,15,84.3,5.6,17.9%
86,Whitney Mercilus (HOU),22,17,4.0,0,0,2,0,0,16,81.1,5.1,14.4%
87,L.J. Fort (BAL),34,9,1.0,0,0,0,1,1,15,79.4,5.3,2.1%
88,Duke Riley (PHI),37,21,0.0,2,0,0,0,0,16,78.7,4.9,0.4%
89,Marquel Lee (LV),31,27,0.0,3,0,0,0,0,16,78.3,4.9,0.2%
90,Christian Kirksey (GB),29,14,0.0,5,2,0,1,0,7,78.2,11.2,30.8%
91,Dont'a Hightower (NE),24,24,1.0,1,1,0,1,0,15,77.9,5.2,10.2%
92,Kareem Martin (FA),22,26,1.5,2,0,0,0,0,16,77.3,4.8,0.4%
93,Josey Jewell (DEN),33,18,0.0,3,0,0,0,0,16,77.1,4.8,1.1%
94,Takkarist McKinley (ATL),14,7,7.0,0,0,0,0,0,15,75.7,5.0,6.2%
95,Hardy Nickerson (FA),36,17,0.0,1,0,1,0,0,16,74.3,4.6,0.0%
96,Gerald Hodges (FA),40,11,0.0,0,0,0,0,0,16,73.4,4.6,0.0%
97,Rashaan Evans (TEN),34,19,0.0,1,0,0,0,0,15,73.4,4.9,26.5%
98,Reggie Gilbert (TEN),25,11,2.5,2,0,0,1,0,16,73.1,4.6,0.4%
99,Denzel Perryman (LAC),30,21,0.0,2,1,0,0,0,9,71.3,7.9,3.2%
100,Antonio Morrison (FA),24,21,1.0,0,0,0,0,0,16,69.5,4.3,0.0%
101,Barkevious Mingo (CHI),28,8,1.0,1,0,1,1,0,16,69.3,4.3,0.2%
102,Kamu Grugier-Hill (MIA),23,11,1.0,2,1,1,0,0,16,69.1,4.3,0.4%
103,Preston Brown (FA),27,15,0.0,4,2,0,0,0,7,67.8,9.7,0.7%
104,Shaquil Barrett (TB),20,6,3.0,1,0,0,0,0,13,63.2,4.9,57.3%
105,Deone Bucannon (ATL),28,8,1.0,0,0,1,1,0,13,62.7,4.8,0.4%
106,Austin Calitro (CIN),28,13,0.5,1,0,0,0,0,16,60.6,3.8,1.1%
107,Eric Wilson (MIN),23,9,2.0,0,0,0,0,0,16,59.4,3.7,0.7%
108,Kyle Emanuel (FA),19,7,1.0,0,0,0,1,1,16,57.9,3.6,0.0%
109,Damien Wilson (KC),25,7,1.0,0,0,1,0,0,16,57.5,3.6,4.7%
110,Tae Davis (CLE),25,7,2.0,1,0,0,0,0,9,57.4,6.4,0.0%
111,Brian Orakpo (FA),18,10,1.5,3,0,1,1,0,13,56.6,4.4,0.0%
112,Frankie Luvu (NYJ),17,5,3.0,1,0,0,0,0,14,55.4,4.0,0.0%
113,Ramik Wilson (FA),22,9,0.0,2,0,0,1,0,16,54.5,3.4,0.2%
114,Kamalei Correa (TEN),12,8,3.5,1,0,1,0,0,13,53.7,4.1,0.5%
115,Ben Gedeon (MIN),23,22,0.0,2,0,0,0,0,15,52.8,3.5,0.4%
116,Sharif Finch (FA),15,4,1.5,0,0,2,1,0,15,51.2,3.4,0.0%
117,Malcolm Smith (FA),23,12,0.0,0,0,0,0,0,12,51.1,4.3,0.4%
118,Matthew Adams (IND),19,7,0.0,0,0,0,1,0,16,50.4,3.2,0.4%
