Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Aaron Donald (LAR),41,17,20.5,1,0,4,2,0,16,244.7,15.3,74.6%
2,J.J. Watt (HOU),47,14,16.0,4,0,7,0,0,16,225.0,14.1,59.3%
3,Danielle Hunter (MIN),51,20,14.5,0,0,0,1,1,16,205.6,12.9,76.7%
4,Calais Campbell (BAL),55,17,10.5,1,0,1,1,0,16,197.0,12.3,45.5%
5,Chris Jones (KC),34,6,15.0,5,1,2,0,1,16,191.3,12.0,40.1%
6,Demarcus Lawrence (DAL),44,21,11.5,1,1,3,1,0,16,186.7,11.7,36.8%
7,DeForest Buckner (IND),44,22,12.0,4,0,0,1,0,16,183.3,11.5,58.0%
8,Jason Pierre-Paul (TB),48,10,12.5,1,0,1,1,0,16,180.8,11.3,13.9%
9,Cameron Jordan (NO),36,13,12.0,6,0,1,1,0,16,174.0,10.9,56.7%
10,Chandler Jones (ARI),38,11,13.0,4,0,3,1,0,16,172.2,10.8,59.7%
11,Frank Clark (KC),35,8,14.0,2,1,4,2,0,16,171.7,10.7,32.2%
12,Jadeveon Clowney (FA),38,10,9.0,1,0,1,3,1,15,164.3,11.0,24.9%
13,Myles Garrett (CLE),35,9,13.5,3,0,3,0,0,16,160.0,10.0,68.8%
14,Akiem Hicks (CHI),41,14,7.5,5,0,3,0,0,16,151.0,9.4,33.9%
15,Damon Harrison (FA),50,29,3.5,1,0,2,1,0,17,147.1,8.7,3.1%
16,Jarran Reed (SEA),33,16,10.5,0,0,0,2,0,16,145.5,9.1,7.3%
17,Jurrell Casey (DEN),36,25,7.0,0,0,2,1,0,15,140.6,9.4,13.1%
18,Fletcher Cox (PHI),33,13,10.5,1,0,1,1,0,16,137.5,8.6,22.8%
19,Carlos Dunlap (CIN),32,17,8.0,8,0,2,1,0,16,137.1,8.6,36.3%
20,Trey Flowers (DET),32,25,7.5,2,0,3,0,0,15,134.6,9.0,24.1%
21,Jonathan Allen (WAS),34,26,8.0,0,0,0,0,0,16,131.9,8.2,34.9%
22,Jabaal Sheard (FA),36,13,5.5,4,0,0,1,0,16,131.2,8.2,2.1%
23,Denico Autry (IND),28,9,9.0,1,0,2,1,0,12,131.0,10.9,2.6%
24,Cameron Heyward (PIT),29,23,8.0,3,0,1,1,0,16,130.7,8.2,51.7%
25,Michael Bennett (FA),25,9,9.0,1,0,2,0,0,16,127.5,8.0,1.4%
26,Kenny Clark (GB),35,21,6.0,3,0,1,2,0,13,127.5,9.8,29.5%
27,Jerry Hughes (BUF),30,8,7.0,1,0,3,0,0,16,125.2,7.8,3.1%
28,Geno Atkins (CIN),24,19,9.0,0,0,0,0,0,16,119.3,7.5,8.8%
29,Melvin Ingram III (LAC),28,15,7.0,3,1,1,1,0,16,119.2,7.5,31.4%
30,Allen Bailey (ATL),27,12,6.5,0,0,2,4,1,16,118.4,7.4,0.8%
31,Larry Ogunjobi (CLE),33,19,5.5,0,0,1,0,0,16,116.4,7.3,7.0%
32,Grady Jarrett (ATL),27,24,6.0,0,0,3,0,0,14,116.4,8.3,43.5%
33,Da'Ron Payne (WAS),35,21,5.0,3,0,1,1,0,16,116.3,7.3,9.0%
34,Ndamukong Suh (TB),37,22,4.5,4,0,0,2,0,16,115.7,7.2,11.2%
35,Sheldon Rankins (NO),26,15,8.0,1,0,1,0,0,16,114.7,7.2,2.7%
