Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Cameron Jordan (NO),48,14,13.0,11,1,2,0,1,16,209.9,13.1,56.7%
2,Calais Campbell (BAL),47,20,14.5,3,0,3,1,1,16,206.0,12.9,45.5%
3,Demarcus Lawrence (DAL),35,23,14.5,1,0,4,2,0,16,201.2,12.6,36.8%
4,Joey Bosa (LAC),54,16,12.5,1,0,4,1,0,16,185.2,11.6,75.2%
5,Melvin Ingram III (LAC),43,13,10.5,1,0,1,2,1,16,172.5,10.8,31.4%
6,Cameron Heyward (PIT),30,15,12.0,3,0,2,1,0,15,167.7,11.2,51.7%
7,Aaron Donald (LAR),32,9,11.0,1,0,5,1,0,14,165.7,11.8,74.6%
8,Everson Griffen (FA),31,14,13.0,1,0,3,0,0,15,160.9,10.7,12.6%
9,Jason Pierre-Paul (TB),48,20,8.5,5,0,2,0,0,16,160.8,10.1,13.9%
10,Ezekiel Ansah (FA),39,5,12.0,0,0,1,1,0,14,155.9,11.1,1.2%
11,Brandon Graham (PHI),33,14,9.5,2,0,2,1,1,15,155.4,10.4,19.4%
12,Akiem Hicks (CHI),39,15,8.5,0,0,0,2,0,16,152.0,9.5,33.9%
13,Carlos Dunlap (CIN),35,11,7.5,7,1,1,0,1,16,144.8,9.1,36.3%
14,Jurrell Casey (DEN),41,19,6.0,1,0,1,0,0,16,143.7,9.0,13.1%
15,Trey Flowers (DET),45,17,6.5,3,0,2,0,0,14,131.6,9.4,24.1%
16,Mario Addison (BUF),27,17,11.0,1,0,2,0,0,16,127.1,7.9,12.4%
17,Damon Harrison (FA),51,25,1.5,3,1,0,0,0,16,126.7,7.9,3.1%
18,Julius Peppers (FA),21,12,11.0,0,0,2,2,0,16,126.2,7.9,0.6%
19,Geno Atkins (CIN),29,17,9.0,0,0,0,0,0,16,125.0,7.8,8.8%
20,Danielle Hunter (MIN),27,18,7.0,2,0,1,1,0,16,124.0,7.8,76.7%
21,Grady Jarrett (ATL),34,21,4.0,0,0,0,0,0,16,123.3,7.7,43.5%
22,Kawann Short (CAR),27,22,7.5,1,0,2,1,0,16,123.1,7.7,8.4%
23,Malik Jackson (PHI),31,9,8.0,3,0,4,0,0,16,122.2,7.6,1.5%
24,Kenny Clark (GB),32,23,4.5,1,0,2,0,0,15,121.5,8.1,29.5%
25,Chris Jones (KC),22,10,6.5,7,1,4,0,0,16,120.6,7.5,40.1%
26,Yannick Ngakoue (JAC),24,6,12.0,0,0,6,2,1,16,119.4,7.5,27.7%
27,Anthony Zettel (MIN),31,12,6.5,0,0,1,1,0,16,119.1,7.4,2.2%
28,Linval Joseph (LAC),40,28,3.5,0,0,0,1,0,16,118.8,7.4,14.0%
29,Michael Bennett (FA),25,15,8.5,1,0,0,0,0,16,118.2,7.4,1.4%
30,DeForest Buckner (IND),45,16,3.0,5,0,1,0,0,16,116.2,7.3,58.0%
31,Frank Clark (KC),19,13,9.0,2,0,2,1,0,16,115.0,7.2,32.2%
32,Michael Brockers (LAR),39,16,4.5,4,0,0,0,0,16,114.3,7.1,9.6%
33,Gerald McCoy (DAL),33,14,6.0,1,0,0,0,0,15,112.5,7.5,4.3%
34,Ndamukong Suh (TB),29,19,4.5,2,0,2,0,0,16,109.6,6.9,11.2%
35,Jerry Hughes (BUF),28,16,4.0,0,0,1,0,0,16,108.8,6.8,3.1%
36,Michael Johnson (FA),35,14,5.0,1,0,0,0,0,15,106.4,7.1,0.0%
37,Mike Daniels (FA),34,15,5.0,0,0,1,0,0,14,105.5,7.5,0.0%
38,A'Shawn Robinson (LAR),32,21,0.5,6,1,1,0,1,16,104.8,6.6,2.1%
39,Adrian Clayborn (CLE),17,4,9.5,0,0,2,2,1,16,104.6,6.5,0.5%
40,Myles Garrett (CLE),19,12,7.0,1,0,1,1,0,11,99.9,9.1,68.8%
41,Olivier Vernon (CLE),23,14,6.5,1,1,2,0,0,12,98.8,8.2,6.2%
42,Solomon Thomas (SF),34,7,3.0,0,0,0,1,0,14,97.5,7.0,1.9%
43,Vinny Curry (FA),25,17,3.0,0,0,1,0,0,16,97.4,6.1,0.2%
44,Dante Fowler Jr. (ATL),18,3,8.0,0,0,2,2,1,16,96.8,6.1,47.9%
45,Bennie Logan (FA),35,17,1.5,1,0,0,0,0,15,94.7,6.3,0.0%
46,Denico Autry (IND),23,13,5.0,7,0,0,0,0,16,93.4,5.8,2.6%
47,Muhammad Wilkerson (FA),26,20,3.5,4,1,0,0,0,13,92.5,7.1,0.6%
48,Olsen Pierre (FA),22,8,5.5,2,0,1,0,0,14,92.4,6.6,0.2%
49,Lawrence Guy (NE),34,24,1.0,1,0,0,0,0,16,91.4,5.7,8.2%
50,Alex Okafor (KC),27,16,4.5,4,0,2,0,0,10,90.5,9.1,4.1%
51,David Irving (FA),13,9,7.0,6,0,1,0,0,8,90.0,11.3,0.0%
52,Sheldon Richardson (CLE),27,17,1.0,1,1,1,2,0,15,89.6,6.0,22.0%
53,Shelby Harris (DEN),22,12,5.5,3,0,0,0,0,16,89.5,5.6,7.2%
54,Emmanuel Ogbah (MIA),18,11,4.0,6,0,2,1,0,10,88.7,8.9,4.5%
55,Willie Henry (SF),23,9,3.5,5,0,0,1,0,14,87.0,6.2,0.0%
56,Michael Pierce (MIN),32,17,1.0,0,0,0,2,0,16,85.4,5.3,1.5%
57,Jabaal Sheard (FA),37,15,5.5,3,0,2,0,0,16,85.3,5.3,2.1%
58,Brooks Reed (FA),22,17,4.0,0,0,0,0,0,16,85.2,5.3,0.2%
59,Derek Barnett (PHI),18,3,5.0,0,0,1,2,1,15,84.8,5.7,8.0%
60,Fletcher Cox (PHI),15,11,5.5,2,0,1,2,1,14,84.2,6.0,22.8%
61,Trevon Coley (ARI),24,17,2.0,2,0,0,1,0,15,83.0,5.5,0.0%
62,Malcom Brown (NO),29,20,2.5,0,0,0,0,0,13,82.8,6.4,1.8%
63,Carl Nassib (LV),19,13,3.0,5,0,0,0,0,16,82.7,5.2,2.2%
64,Tyson Alualu (PIT),25,14,4.0,1,0,0,0,0,16,81.5,5.1,0.6%
65,Johnathan Hankins (LV),24,20,2.0,3,0,0,0,0,15,81.3,5.4,1.7%
66,Dean Lowry (GB),18,14,2.0,2,0,0,1,1,16,80.5,5.0,1.1%
67,Steve McLendon (NYJ),30,16,1.5,0,0,0,0,0,16,79.4,5.0,0.4%
68,Chris Long (FA),20,8,5.0,0,0,4,0,0,16,78.7,4.9,0.0%
69,Kyle Williams (FA),21,20,3.0,2,0,0,1,0,16,78.4,4.9,3.7%
70,Leonard Williams (NYG),22,25,2.0,1,1,0,0,0,16,78.3,4.9,4.4%
71,Shaq Lawson (MIA),17,16,4.0,2,0,1,0,0,11,78.1,7.1,6.4%
72,Jarran Reed (SEA),23,22,1.5,1,0,1,0,0,15,76.8,5.1,7.3%
73,Adam Gotsis (FA),28,13,2.0,4,0,0,1,0,16,76.2,4.8,0.0%
74,Darius Philon (FA),16,15,4.5,1,0,1,0,0,16,76.1,4.8,0.0%
75,Domata Peko Sr. (FA),24,14,1.0,0,0,0,1,0,14,75.6,5.4,0.0%
76,Al Woods (JAC),20,24,1.0,0,0,0,0,0,16,73.9,4.6,0.2%
77,Robert Quinn (CHI),21,11,8.5,1,0,2,0,0,15,73.8,4.9,17.4%
78,Stephon Tuitt (PIT),19,6,3.0,2,0,1,0,0,12,73.7,6.1,10.8%
79,Dalvin Tomlinson (NYG),30,20,1.0,1,0,0,0,0,16,73.6,4.6,3.1%
80,Clinton McDonald (FA),18,11,5.0,1,0,0,0,0,14,73.5,5.3,0.0%
81,Tyrone Crawford (DAL),18,9,4.0,2,0,1,1,0,16,73.2,4.6,0.8%
82,Allen Bailey (ATL),21,17,2.0,0,0,0,0,0,14,72.8,5.2,0.8%
83,Robert Ayers (FA),20,11,2.0,0,0,2,0,0,12,72.2,6.0,0.0%
84,Eddie Goldman (CHI),27,17,1.5,0,0,0,1,0,15,71.9,4.8,1.1%
85,Dontari Poe (DAL),23,16,2.5,2,0,0,0,0,16,71.6,4.5,0.9%
86,D.J. Reader (CIN),23,24,1.0,0,0,0,0,0,14,71.0,5.1,3.0%
87,Anthony Lanier (FA),11,3,5.0,6,0,1,1,0,11,70.5,6.4,0.0%
88,Timmy Jernigan (FA),16,13,2.5,0,0,0,0,0,15,67.6,4.5,0.0%
89,Sheldon Rankins (NO),16,10,2.0,1,1,1,0,0,16,67.2,4.2,2.7%
90,Carl Lawson (CIN),10,6,8.5,0,0,0,0,0,16,66.9,4.2,1.3%
91,Earl Mitchell (FA),19,14,1.0,4,0,0,1,0,16,66.7,4.2,0.0%
