0,1,2,3,4,5,6,7,8,9,10,11,12
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
B.Butler,DAL,135,133,61.6%,60.6%,23,319,346,3,65%,0,1/17
K.Golladay,DET,130,126,21.9%,20.7%,48,477,498,3,58%,0,1/34
D.Moncrief,IND,94,88,11.4%,10.0%,47,391,455,2,55%,0,1/36
C.Latimer,DEN,88,88,21.9%,22.0%,31,287,336,2,61%,0,0/0
J.Wright,MIN,84,86,29.0%,29.6%,25,198,289,2,72%,0,1/24
T.Boyd,CIN,76,71,19.5%,17.0%,32,225,306,2,69%,0,0/0
J.Kerley,NYJ,64,72,19.0%,22.8%,27,225,260,1,81%,0,0/0
J.Grant,MIA,60,58,22.1%,20.8%,23,210,229,2,61%,0,1/26
M.Hollins,PHI,59,61,25.0%,26.1%,22,226,216,1,73%,0,0/0
J.Hardy,ATL,59,62,12.5%,14.1%,29,221,276,3,69%,1,1/6
O.Beckham,NYG,57,64,3.5%,5.4%,41,302,374,3,61%,0,2/32
A.Erickson,CIN,54,52,31.1%,29.5%,16,180,180,1,75%,1,0/0
D.Inman,2TM,54,60,3.6%,5.4%,44,343,350,1,57%,0,1/21
B.Coleman,NO,53,57,6.0%,7.2%,37,374,311,3,62%,2,0/0
C.Conley,KC,50,49,27.2%,26.7%,16,175,175,0,69%,0,0/0
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
P.Dorsett,NE,45,40,21.6%,17.5%,18,194,175,0,67%,0,0/0
A.Holmes,BUF,43,50,9.8%,13.6%,23,120,217,3,57%,0,1/24
M.Campanaro,BAL,34,32,3.4%,2.4%,27,173,223,1,70%,0,1/14
J.Matthews,BUF,33,32,-0.6%,-0.8%,36,282,269,1,69%,1,0/0
C.Rogers,IND,28,15,-3.1%,-7.4%,37,284,278,1,62%,0,0/0
T.McBride,CHI,27,20,10.6%,4.6%,15,144,133,0,53%,0,0/0
T.Pryor,WAS,23,21,-5.3%,-5.9%,37,240,282,1,54%,0,1/4
J.Mickens,JAC,22,29,10.1%,17.7%,11,77,109,2,55%,0,1/13
J.Holton,OAK,21,24,3.0%,5.6%,18,218,138,3,50%,2,0/0
J.Bellamy,CHI,20,35,-6.8%,-2.6%,46,376,311,1,52%,0,0/0
DA.Thomas,KC,20,23,4.7%,7.3%,16,143,123,2,88%,0,0/0
B.Bersin,CAR,19,23,5.6%,9.1%,14,128,115,0,57%,0,0/0
C.Patterson,OAK,17,5,-7.4%,-11.2%,42,305,294,0,74%,0,1/3
J.Gordon,CLE,16,13,-7.8%,-8.8%,42,335,292,1,43%,0,0/0
T.King,NYG,16,23,-7.5%,-5.1%,37,240,267,3,49%,0,2/29
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
K.Bourne,SF,8,-3,-9.7%,-13.9%,34,257,219,0,47%,0,0/0
Ta.Taylor,TEN,6,18,-9.7%,-4.2%,28,231,182,1,57%,0,1/6
L.Murphy,SF,4,7,-9.4%,-7.5%,17,121,114,1,47%,0,0/0
J.Taylor,DEN,3,6,-10.9%,-9.1%,20,142,132,0,65%,0,0/0
B.Tate,BUF,1,1,-12.1%,-11.6%,14,81,84,1,43%,0,0/0
D.Byrd,CAR,0,-1,-13.0%,-13.1%,17,105,113,2,59%,0,0/0
C.Moore,BAL,-4,-5,-14.1%,-14.2%,38,248,234,3,47%,0,0/0
A.Darboh,SEA,-6,-2,-19.1%,-14.9%,13,71,71,0,62%,0,2/32
G.Allison,GB,-8,-12,-15.0%,-16.3%,39,253,257,0,59%,1,2/18
M.Williams,LACH,-10,-24,-18.0%,-25.2%,23,95,143,0,48%,0,2/12
T.Lewis,NO,-12,-10,-22.8%,-21.1%,15,116,76,1,67%,0,0/0
C.Samuel,CAR,-12,-10,-18.3%,-17.3%,26,115,153,0,58%,0,2/61
J.Hunter,PIT,-12,-15,-29.6%,-33.2%,10,23,40,1,40%,0,0/0
L.Carroo,MIA,-14,-18,-26.3%,-30.6%,14,69,61,0,50%,0,0/0
D.Robinson,KC,-14,-12,-16.9%,-16.4%,39,212,238,0,54%,0,2/28
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
N.Brown,DAL,-14,-14,-29.9%,-29.7%,9,33,47,0,44%,0,1/29
L.Treadwell,MIN,-15,-12,-18.2%,-16.9%,35,200,203,0,57%,1,2/34
S.Coates,CLE,-16,-18,-32.5%,-34.8%,11,70,43,0,55%,0,0/0
C.Hansen,NYJ,-17,-18,-26.3%,-27.5%,17,94,76,0,53%,0,0/0
K.Britt,2TM,-20,-23,-19.0%,-19.7%,43,256,232,2,47%,0,1/10
K.Williams,CLE,-21,-10,-25.1%,-18.9%,18,84,105,0,50%,0,3/43
W.Snead,NO,-23,-22,-31.0%,-30.6%,16,92,67,0,50%,0,0/0
E.Rogers,PIT,-28,-23,-22.3%,-20.6%,36,154,195,1,50%,0,2/30
M.Floyd,MIN,-30,-26,-36.4%,-32.8%,17,78,59,0,59%,0,0/0
J.Malone,CIN,-30,-30,-36.9%,-36.7%,17,63,57,1,35%,0,0/0
B.Miller,HOU,-31,-36,-26.9%,-29.3%,29,162,132,1,66%,0,0/0
B.Marshall,NYG,-33,-37,-24.9%,-26.4%,33,154,172,0,55%,0,0/0
J.Reynolds,LARM,-35,-43,-31.0%,-34.9%,24,104,104,1,46%,0,0/0
B.Treggs,CLE,-36,-37,-40.3%,-41.4%,18,79,52,0,28%,0,0/0
M.Clark,GB,-37,-48,-46.6%,-56.3%,14,41,34,0,29%,0,0/0
