0,1,2,3,4,5,6,7,8,9,10,11,12
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
A.Stewart,NYJ,-37,-39,-45.4%,-46.8%,15,85,37,0,53%,0,0/0
R.Shepard,CAR,-38,-40,-27.9%,-28.8%,32,202,146,1,53%,1,1/3
A.Robinson,SF,-43,-59,-24.5%,-28.9%,48,260,231,2,40%,0,0/0
K.Clay,2TM,-45,-43,-43.5%,-41.9%,20,85,52,0,30%,0,0/0
T.Rudolph,NYG,-49,-49,-43.2%,-43.0%,21,101,58,0,38%,0,0/0
I.McKenzie,DEN,-50,-50,-66.8%,-66.8%,13,29,1,0,31%,0,0/0
P.Cooper,LARM,-53,-51,-49.2%,-47.8%,19,84,40,0,58%,0,1/7
M.Wheaton,CHI,-66,-68,-66.2%,-67.6%,17,51,3,0,18%,0,0/0
T.Austin,LARM,-99,-98,-68.2%,-67.9%,24,56,-1,0,63%,0,0/0
K.Aiken,IND,-144,-150,-55.8%,-57.4%,44,133,60,0,34%,0,0/0
B.Perriman,BAL,-158,-150,-71.8%,-68.6%,35,77,-16,0,29%,0,0/0
