Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
214,Arden Key (LV),3,1,2.0,0,0,0,0,0,7,18.3,2.6,1.1%
215,Treyvon Hester (GB),2,6,1.0,0,0,0,1,0,15,18.1,1.2,0.2%
216,Andrew Brown (CIN),10,4,0.0,0,0,0,0,0,14,18.1,1.3,0.5%
217,Isaac Rochell (LAC),3,7,1.0,1,0,0,0,0,16,18.0,1.1,0.2%
218,Rakeem Nunez-Roches (TB),5,4,0.0,0,0,0,1,0,16,17.2,1.1,0.4%
219,Greg Gaines (LAR),6,7,0.5,0,0,0,0,0,10,16.4,1.6,0.2%
220,Domata Peko Sr. (FA),7,7,0.0,0,0,0,0,0,8,15.9,2.0,0.0%
221,John Cominsky (ATL),3,8,0.5,2,0,0,0,0,10,15.7,1.6,0.4%
222,Xavier Williams (FA),7,1,0.0,0,0,1,0,0,5,15.3,3.1,0.0%
223,Kyle Love (FA),5,3,0.0,1,0,0,0,0,15,13.9,0.9,0.0%
224,Zach Allen (ARI),6,2,0.0,0,0,0,0,0,4,13.1,3.3,1.3%
225,Vincent Taylor (BUF),6,0,0.0,1,0,0,0,0,3,13.0,4.3,0.0%
226,Brooks Reed (FA),3,2,1.0,0,0,0,0,0,9,12.6,1.4,0.2%
227,Anthony Nelson (TB),1,7,0.0,1,0,1,0,0,9,12.5,1.4,0.7%
228,Daeshon Hall (PHI),3,1,1.0,0,0,0,0,0,9,11.8,1.3,1.1%
229,Abdullah Anderson (CHI),3,1,1.0,0,0,0,0,0,6,11.8,2.0,0.0%
230,Da'Shawn Hand (DET),4,2,0.0,1,0,0,0,0,4,11.6,2.9,2.7%
231,Eli Ankou (CLE),5,2,0.0,0,0,0,0,0,10,11.6,1.2,0.0%
232,Demone Harris (KC),4,0,0.0,0,0,0,0,0,5,11.0,2.2,2.7%
233,Taylor Stallworth (NO),5,3,0.0,0,0,0,0,0,4,9.9,2.5,0.4%
234,Kingsley Keke (GB),3,7,0.0,0,0,0,0,0,14,9.9,0.7,0.0%
235,Daniel McCullers (PIT),3,5,0.0,1,0,0,0,0,16,9.9,0.6,0.6%
236,Eddie Vanderdoes (HOU),5,3,0.0,0,0,0,0,0,3,9.8,3.3,1.0%
237,Tyrone Crawford (DAL),1,2,1.0,0,0,0,0,0,4,9.5,2.4,0.8%
238,Damontre Moore (FA),2,3,0.0,0,0,1,0,0,2,9.3,4.7,0.0%
239,Trysten Hill (DAL),4,1,0.0,0,0,0,0,0,7,9.3,1.3,0.6%
240,Renell Wren (CIN),4,4,0.0,0,0,0,0,0,11,9.2,0.8,0.2%
241,Jonathan Harris (DEN),4,4,0.0,0,0,0,0,0,5,9.1,1.8,0.0%
242,Tyquan Lewis (IND),3,2,0.0,0,0,0,0,0,10,8.6,0.9,0.5%
243,Michael Dogbe (ARI),3,2,0.0,0,0,0,0,0,8,8.6,1.1,1.0%
244,Kawann Short (CAR),4,0,0.0,0,0,0,0,0,2,8.5,4.3,8.4%
245,Kentavius Street (SF),4,0,0.0,0,0,0,0,0,3,8.5,2.8,3.2%
246,Bronson Kaufusi (NYJ),3,2,0.5,0,0,0,0,0,3,8.1,2.7,0.0%
247,Harrison Phillips (BUF),1,2,0.5,2,0,0,0,0,3,8.0,2.7,0.4%
248,Justin Zimmer (CLE),2,3,0.0,0,0,0,0,0,3,7.8,2.6,0.2%
249,Daniel Ekuale (CLE),3,1,0.0,0,0,0,0,0,7,7.8,1.1,0.0%
250,Clinton McDonald (FA),2,6,0.0,0,0,0,0,0,9,7.7,0.9,0.0%
251,Austin Bryant (DET),2,6,0.0,0,0,0,0,0,4,7.6,1.9,0.2%
252,Tuzar Skipper (PIT),0,2,0.5,0,0,0,1,0,6,7.6,1.3,0.4%
253,Kevin Strong (DET),3,2,0.0,1,0,0,0,0,8,7.6,1.0,0.2%
254,Noah Spence (FA),1,2,1.0,0,0,0,0,0,8,7.1,0.9,2.1%
