Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
286,Tae Hayes (MIA),4,3,0.0,2,0,0,0,0,3,11.3,3.8,0.2%
287,Shakial Taylor (DEN),6,1,0.0,1,0,0,0,0,5,11.3,2.3,0.2%
288,Maurice Alexander (FA),6,2,0.0,0,0,0,0,0,7,10.5,1.5,0.0%
289,Montre Hartage (NYG),5,2,0.0,1,0,0,0,0,4,10.5,2.6,0.6%
290,Sherrick McManis (CHI),3,0,0.0,1,0,1,0,0,9,10.0,1.1,0.2%
291,Jordan Richards (BAL),0,0,0.0,0,0,0,1,1,12,10.0,0.8,0.2%
292,Craig James (PHI),5,1,0.0,1,0,0,0,0,14,9.8,0.7,0.0%
293,Jordan Miller (ATL),3,1,0.0,0,0,0,1,0,10,9.3,0.9,0.0%
294,Ugochukwu Amadi (SEA),5,2,0.0,0,0,0,0,0,16,9.1,0.6,0.4%
295,Josh Jackson (GB),6,0,0.0,0,0,0,0,0,14,9.0,0.6,1.1%
296,Ken Crawley (LV),6,0,0.0,0,0,0,0,0,6,9.0,1.5,0.2%
297,Dominique Rodgers-Cromartie (FA),5,2,0.0,0,0,0,0,0,2,9.0,4.5,0.0%
298,Artie Burns (CHI),4,3,0.0,0,0,0,0,0,10,8.3,0.8,0.0%
299,Marcus Epps (PHI),5,1,0.0,0,0,0,0,0,15,8.3,0.6,0.2%
300,Elijah Lee (DET),2,3,0.0,0,0,0,0,0,9,7.8,0.9,0.0%
301,Sean Chandler (NYG),1,3,0.0,0,0,0,1,0,13,7.8,0.6,0.2%
302,Joshua Kalu (TEN),4,0,0.0,1,0,0,0,0,9,7.5,0.8,0.2%
303,Kyron Brown (FA),5,0,0.0,0,0,0,0,0,3,7.5,2.5,0.0%
304,Jamal Agnew (DET),5,0,0.0,0,0,0,0,0,13,7.5,0.6,22.6%
305,Miles Killebrew (DET),5,0,0.0,0,0,0,0,0,15,7.5,0.5,0.0%
306,Sean Davis (WAS),5,0,0.0,0,0,0,0,0,2,7.5,3.8,1.8%
307,Torry McTyer (CIN),3,0,0.0,0,0,0,0,0,5,7.0,1.4,0.0%
308,Cody Davis (NE),2,3,0.0,1,0,0,0,0,15,6.9,0.5,19.0%
309,JoeJuan Williams (NE),3,1,0.0,1,0,0,0,0,5,6.8,1.4,0.7%
310,Ryan Smith (TB),3,1,0.0,1,0,0,0,0,13,6.8,0.5,0.5%
311,Deshazor Everett (WAS),3,2,0.0,0,0,0,0,0,7,6.1,0.9,0.0%
312,Johnathan Abram (LV),1,4,0.0,1,0,0,0,0,1,6.0,6.0,17.0%
313,Keisean Nixon (LV),3,0,0.0,1,0,0,0,0,14,6.0,0.4,0.0%
314,Kenny Ladler (FA),4,0,0.0,0,0,0,0,0,2,6.0,3.0,0.0%
315,DeShon Elliott (BAL),3,0,0.0,1,0,0,0,0,6,6.0,1.0,0.4%
316,Neiko Thorpe (SEA),4,0,0.0,0,0,0,0,0,7,6.0,0.9,0.2%
317,A.J. Moore (HOU),2,0,0.0,0,0,0,0,0,16,5.5,0.3,0.2%
318,Kurt Coleman (FA),2,0,0.0,0,0,0,0,0,14,5.5,0.4,0.2%
319,Chris Banjo (ARI),2,3,0.0,0,0,0,0,0,14,5.4,0.4,0.2%
320,Kavon Frazier (MIA),3,1,0.0,0,0,0,0,0,4,5.3,1.3,0.0%
321,Cornell Armstrong (HOU),3,1,0.0,0,0,0,0,0,5,5.3,1.1,0.0%
322,Simeon Thomas (WAS),2,3,0.0,0,0,0,0,0,12,5.3,0.4,0.0%
323,Johnson Bademosi (NO),3,1,0.0,0,0,0,0,0,10,5.3,0.5,0.2%
324,Jaquan Johnson (BUF),3,0,0.0,0,0,0,0,0,13,4.5,0.3,0.4%
325,Mazzi Wilkins (TB),3,0,0.0,0,0,0,0,0,5,4.5,0.9,2.0%
326,Linden Stephens (SEA),3,0,0.0,0,0,0,0,0,3,4.5,1.5,1.0%
327,J.T. Hassell (CLE),3,0,0.0,0,0,0,0,0,4,4.5,1.1,0.0%
328,Saquan Hampton (NO),1,0,0.0,0,0,0,0,0,5,4.0,0.8,0.4%
329,Jordan Dangerfield (PIT),1,0,0.0,0,0,0,0,0,16,4.0,0.3,0.2%
330,Sharrod Neasman (ATL),0,0,0.0,0,0,0,1,0,15,4.0,0.3,0.0%
331,Parry Nickerson (JAC),2,1,0.0,0,0,0,0,0,5,3.8,0.8,0.0%
332,Johnathan Cyprien (FA),2,1,0.0,0,0,0,0,0,5,3.8,0.8,0.5%
333,Jordan Lucas (CHI),0,2,0.0,1,0,0,0,0,15,3.1,0.2,0.2%
334,Rontez Miles (FA),2,0,0.0,0,0,0,0,0,7,3.0,0.4,12.0%
335,Greg Mabin (CIN),1,0,0.0,1,0,0,0,0,9,3.0,0.3,0.0%
336,Cole Luke (CAR),2,0,0.0,0,0,0,0,0,8,3.0,0.4,0.7%
337,Cyrus Jones (FA),2,0,0.0,0,0,0,0,0,8,3.0,0.4,0.0%
338,C.J. Goodwin (DAL),2,0,0.0,0,0,0,0,0,16,3.0,0.2,0.2%
339,T.J. Green (CAR),2,0,0.0,0,0,0,0,0,2,3.0,1.5,0.7%
340,Dallin Leavitt (LV),2,0,0.0,0,0,0,0,0,16,3.0,0.2,0.2%
341,Mike Adams (FA),2,0,0.0,0,0,0,0,0,7,3.0,0.4,0.4%
342,Marcus Gilchrist (FA),2,0,0.0,0,0,0,0,0,4,3.0,0.8,0.0%
343,Nate Meadors (MIN),2,0,0.0,0,0,0,0,0,2,3.0,1.5,0.6%
344,Dontae Johnson (SF),2,0,0.0,0,0,0,0,0,7,3.0,0.4,0.2%
345,Bennett Jackson (NYJ),1,1,0.0,0,0,0,0,0,5,2.3,0.5,0.0%
346,Nick Scott (LAR),1,1,0.0,0,0,0,0,0,16,2.3,0.1,15.1%
347,Johnathan Ford (PHI),1,1,0.0,0,0,0,0,0,10,2.3,0.2,0.0%
348,Brynden Trawick (FA),1,0,0.0,0,0,0,0,0,6,1.5,0.3,0.0%
349,Josh Jones (JAC),1,0,0.0,0,0,0,0,0,6,1.5,0.3,0.0%
350,Brandon Watson (JAC),1,0,0.0,0,0,0,0,0,8,1.5,0.2,0.0%
351,Rashaan Gaulden (NYG),1,0,0.0,0,0,0,0,0,10,1.5,0.2,0.4%
352,Natrell Jamerson (CAR),1,0,0.0,0,0,0,0,0,5,1.5,0.3,0.0%
353,Maurice Smith (WAS),1,0,0.0,0,0,0,0,0,3,1.5,0.5,0.0%
354,Colin Jones (FA),1,0,0.0,0,0,0,0,0,16,1.5,0.1,9.7%
355,Calvin Moore (DET),1,0,0.0,0,0,0,0,0,16,1.5,0.1,0.0%
356,Isaiah Johnson (LV),0,0,0.0,1,0,0,0,0,5,1.5,0.3,0.2%
357,Dane Cruikshank (TEN),1,0,0.0,0,0,0,0,0,16,1.5,0.1,14.2%
358,Donte Deayon (LAR),1,0,0.0,0,0,0,0,0,2,1.5,0.8,0.2%
359,Chris Conte (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
360,Da'Norris Searcy (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
361,Barry Church (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.3%
362,John Brannon (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
