Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
S.Ware,KC,85,79,56.1%,51.2%,23,224,262,0,87%,0
Da.Williams,KC,74,60,33.9%,24.9%,24,160,263,2,96%,0
F.Gore,MIA,49,55,35.4%,41.5%,16,124,171,1,75%,0
A.Janovich,DEN,47,58,75.0%,95.5%,10,112,136,1,80%,0
C.Ivory,BUF,47,59,31.3%,42.1%,21,205,173,0,62%,0
D.Hilliard,CLE,43,39,70.4%,62.7%,10,105,126,0,90%,0
C.Carson,SEA,43,35,21.2%,15.0%,24,163,177,0,83%,0
J.Jackson,LAC,37,30,29.9%,22.5%,19,135,135,0,79%,0
J.Wilson,SF,17,25,4.9%,14.2%,15,98,99,0,80%,0
D.Sproles,PHI,16,16,-3.7%,-3.6%,23,160,145,2,65%,0
C.Grant,JAX,15,10,6.2%,-1.3%,12,67,85,0,75%,0
T.Mizzell,CHI,15,18,8.1%,13.6%,10,78,78,1,80%,0
C.J.Ham,MIN,14,4,1.3%,-9.7%,15,85,98,0,73%,0
R.Penny,SEA,12,11,8.3%,7.0%,12,75,60,0,75%,0
A.Collins,BAL,9,14,-6.6%,-2.5%,21,105,111,1,71%,0
A.Morris,SF,6,2,-6.7%,-11.8%,13,73,71,0,62%,0
R.Burkhead,NE,5,8,-9.1%,-6.5%,20,131,92,1,70%,1
R.Smith,DAL,3,-3,-9.0%,-18.1%,12,60,49,0,75%,0
D.Martin,OAK,3,0,-11.7%,-13.9%,24,116,95,0,75%,0
B.Powell,NYJ,-1,-4,-14.4%,-17.6%,18,110,72,1,61%,0
Z.Line,NO,-2,-7,-16.8%,-23.8%,10,14,47,2,50%,0
S.Michel,NE,-3,-1,-18.4%,-15.4%,11,50,40,0,64%,0
D.Henry,TEN,-4,-12,-18.0%,-26.6%,18,99,60,0,83%,1
Z.Zenner,DET,-11,-7,-32.2%,-25.2%,10,56,20,0,70%,0
M.Lynch,OAK,-17,-14,-28.5%,-26.0%,20,84,47,0,75%,0
K.Ballage,MIA,-17,-12,-39.6%,-32.1%,11,56,12,0,82%,0
C.Edmonds,ARI,-19,-23,-27.7%,-31.0%,23,103,58,0,87%,0
J.Adams,PHI,-19,-19,-37.9%,-37.4%,13,58,17,0,54%,0
R.Freeman,DEN,-20,-17,-32.2%,-29.3%,20,72,37,0,70%,0
K.Bibbs,2TM,-26,-32,-34.8%,-39.5%,23,115,35,1,70%,1
J.Develin,NE,-32,-30,-44.5%,-42.2%,17,61,9,0,71%,0
J.Wilkins,IND,-34,-36,-47.8%,-50.3%,17,85,1,0,94%,2
L.Blount,DET,-38,-43,-52.5%,-57.2%,15,67,-8,0,67%,1
W.Gallman,NYG,-47,-43,-63.8%,-59.0%,22,89,-30,0,64%,2
C.Hyde,2TM,-51,-60,-73.3%,-83.4%,16,33,-44,0,63%,0
M.Murphy,BUF,-76,-74,-82.6%,-80.7%,19,26,-78,0,58%,0
